# This data file was created on Wed Nov 16 10:34:43 2016
# GBA 124 Helium run reproduce and play with DC Voltage
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479317700.64116, 299.819, 281.446, 10000.0, 1.29495, 0.000311, 15.0
1479317713.072748, 299.807, 281.44, 1000.0, 1.295455, 0.000285, 15.0
1479317760.623021, 299.763, 281.42, 100.0, 1.295943, 0.000289, 1.5
1479317771.058936, 299.753, 281.414, 10000.0, 1.294926, 0.0003088, 15.0
1479317783.492768, 299.742, 281.4, 1000.0, 1.295446, 0.000285, 15.0
1479317831.006364, 299.691, 280.572, 100.0, 1.295943, 0.00029, 1.5
1479317841.454529, 299.673, 279.859, 10000.0, 1.294918, 0.0003127, 15.0
1479317853.893799, 299.641, 278.58, 1000.0, 1.295443, 0.000285, 15.0
1479317901.431869, 299.327, 270.199, 100.0, 1.295933, 0.00028, 1.5
1479317911.856624, 299.205, 267.94, 10000.0, 1.2949135, 0.0003075, 15.0
1479317924.311896, 299.029, 265.153, 1000.0, 1.295435, 0.000285, 15.0
1479317971.837909, 298.077, 254.31, 100.0, 1.2959223, 0.0002839, 1.5
1479317982.274536, 297.811, 251.964, 10000.0, 1.294894, 0.0003128, 15.0
1479317994.809002, 297.465, 249.187, 1000.0, 1.295425, 0.000284, 15.0
1479318042.43563, 295.902, 238.991, 100.0, 1.295908, 0.000275, 1.5
1479318052.939867, 295.51, 236.84, 10000.0, 1.294885, 0.000307, 15.0
1479318065.421732, 295.023, 234.331, 1000.0, 1.2954097, 0.0002867, 15.0
1479318113.112044, 292.983, 225.155, 100.0, 1.2959, 0.000295, 1.5
1479318123.61475, 292.501, 223.235, 10000.0, 1.294861, 0.000318, 15.0
1479318136.104174, 291.911, 220.994, 1000.0, 1.295392, 0.000289, 15.0
1479318183.758161, 289.536, 212.846, 100.0, 1.295881, 0.000277, 1.5
1479318194.219939, 288.993, 211.157, 10000.0, 1.294841, 0.000317, 15.0
1479318206.737395, 288.336, 209.179, 1000.0, 1.295368, 0.0002866, 15.0
1479318254.430323, 285.763, 202.003, 100.0, 1.295832, 0.000272, 1.5
1479318264.916863, 285.186, 200.501, 10000.0, 1.294803, 0.0003142, 15.0
1479318277.4378, 284.484, 198.738, 1000.0, 1.295338, 0.000287, 15.0
1479318325.172552, 281.741, 192.344, 100.0, 1.295809, 0.000275, 1.5
1479318335.679959, 281.121, 191.006, 10000.0, 1.294762, 0.0003196, 15.0
1479318348.17049, 280.38, 189.436, 1000.0, 1.295296, 0.000287, 15.0
1479318395.853586, 277.515, 183.698, 100.0, 1.295759, 0.00027, 1.5
1479318406.353448, 276.875, 182.494, 10000.0, 1.294711, 0.000317, 15.0
1479318418.879887, 276.108, 181.088, 1000.0, 1.2952375, 0.0002829, 15.0
1479318466.600394, 273.156, 175.943, 100.0, 1.295696, 0.000258, 1.5
1479318477.112916, 272.502, 174.862, 10000.0, 1.2946535, 0.0003209, 15.0
1479318489.68083, 271.719, 173.592, 1000.0, 1.295183, 0.000285, 15.0
1479318537.343198, 268.734, 168.981, 100.0, 1.295643, 0.000261, 1.5
1479318547.8395, 268.075, 168.007, 10000.0, 1.294602, 0.0003258, 15.0
1479318560.354954, 267.29, 166.861, 1000.0, 1.2951287, 0.0002805, 15.0
1479318608.057123, 264.288, 162.69, 100.0, 1.295573, 0.000255, 1.5
1479318618.533272, 263.633, 161.815, 10000.0, 1.29453, 0.000326, 15.0
1479318631.057432, 262.879, 160.787, 1000.0, 1.2950679, 0.000284, 15.0
1479318678.774471, 260.74, 157.0, 100.0, 1.295508, 0.000252, 1.5
1479318689.29192, 260.443, 156.2, 10000.0, 1.294485, 0.00033, 15.0
1479318701.814167, 260.142, 155.261, 1000.0, 1.295027, 0.000284, 15.0
