# This data file was created on Wed Nov 16 17:35:18 2016
# GBA 124; -20V, 60K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479342935.238642, 60.0, 40.677, 10000.0, 1.281044, 0.001217, 15.0
1479342947.671553, 60.0, 40.679, 1000.0, 1.2835061, 0.0016632, 15.0
1479342995.220328, 59.998, 40.676, 100.0, 1.287188, 0.002089, 1.5
1479343005.674733, 59.998, 40.679, 10000.0, 1.281043, 0.001211, 15.0
1479343018.125449, 59.998, 40.679, 1000.0, 1.283503, 0.001661, 15.0
1479343065.666466, 60.0, 40.698, 100.0, 1.287194, 0.002118, 1.5
1479343076.111909, 60.0, 40.701, 10000.0, 1.281045, 0.001211, 15.0
1479343088.576842, 60.0, 40.708, 1000.0, 1.2835, 0.001663, 15.0
1479343136.114634, 60.001, 40.733, 100.0, 1.287184, 0.002098, 1.5
1479343146.533965, 60.001, 40.738, 10000.0, 1.281046, 0.0012146, 15.0
1479343158.971458, 60.001, 40.746, 1000.0, 1.2835002, 0.0016582, 15.0
1479343206.507015, 60.003, 40.778, 100.0, 1.287181, 0.002106, 1.5
1479343216.952262, 60.003, 40.785, 10000.0, 1.281033, 0.001214, 15.0
1479343229.469519, 60.003, 40.795, 1000.0, 1.283498, 0.001662, 15.0
1479343277.240862, 60.005, 40.861, 100.0, 1.287201, 0.002097, 1.5
1479343287.768524, 60.005, 40.872, 10000.0, 1.2810415, 0.0012177, 15.0
1479343300.302354, 60.005, 40.887, 1000.0, 1.2835, 0.001661, 15.0
1479343348.084342, 60.006, 40.93, 100.0, 1.287201, 0.0021, 1.5
1479343358.584585, 60.007, 40.937, 10000.0, 1.281037, 0.001216, 15.0
1479343371.11796, 60.006, 40.949, 1000.0, 1.283495, 0.00166, 15.0
1479343418.872858, 60.006, 40.993, 100.0, 1.287198, 0.002098, 1.5
1479343429.400672, 60.006, 41.005, 10000.0, 1.2810392, 0.001219, 15.0
1479343441.916479, 60.005, 41.017, 1000.0, 1.283494, 0.001661, 15.0
1479343489.624821, 60.005, 41.061, 100.0, 1.287199, 0.002099, 1.5
1479343500.145768, 60.005, 41.07, 10000.0, 1.281037, 0.001219, 15.0
1479343512.695184, 60.005, 41.08, 1000.0, 1.2834908, 0.0016584, 15.0
1479343560.391678, 60.005, 41.13, 100.0, 1.287173, 0.002098, 1.5
1479343570.92835, 60.005, 41.14, 10000.0, 1.281034, 0.001212, 15.0
1479343583.497132, 60.005, 41.154, 1000.0, 1.2834883, 0.0016615, 15.0
1479343631.174602, 60.006, 41.214, 100.0, 1.287161, 0.0021, 1.5
1479343641.598236, 60.006, 41.235, 10000.0, 1.281034, 0.001211, 15.0
1479343654.038591, 60.006, 41.258, 1000.0, 1.283488, 0.001659, 15.0
