# This data file was created on Wed Nov 16 18:17:23 2016
# GBA 124; 100V, 60K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479345460.010364, 60.011, 42.773, 10000.0, 1.281186, 0.001225, 15.0
1479345472.442264, 60.013, 42.796, 1000.0, 1.28366, 0.001668, 15.0
1479345519.98136, 60.011, 42.888, 100.0, 1.28736, 0.002126, 1.5
1479345530.399404, 60.012, 42.906, 10000.0, 1.281195, 0.001219, 15.0
1479345542.831985, 60.012, 42.929, 1000.0, 1.28366, 0.001666, 15.0
1479345590.322281, 60.012, 43.019, 100.0, 1.287381, 0.00213, 1.5
1479345600.753439, 60.012, 43.04, 10000.0, 1.2811835, 0.0012182, 15.0
1479345613.173051, 60.012, 43.068, 1000.0, 1.283661, 0.001664, 15.0
1479345660.715853, 60.012, 43.165, 100.0, 1.287384, 0.002105, 1.5
1479345671.157779, 60.013, 43.187, 10000.0, 1.281188, 0.001226, 15.0
1479345683.622476, 60.013, 43.212, 1000.0, 1.283658, 0.001666, 15.0
1479345731.147802, 60.013, 43.314, 100.0, 1.287371, 0.002124, 1.5
1479345741.585669, 60.013, 43.338, 10000.0, 1.281189, 0.001216, 15.0
1479345754.104773, 60.013, 43.363, 1000.0, 1.283665, 0.001665, 15.0
1479345801.838076, 60.013, 43.464, 100.0, 1.287353, 0.002122, 1.5
1479345812.361878, 60.014, 43.488, 10000.0, 1.2811914, 0.0012213, 15.0
1479345824.920182, 60.014, 43.513, 1000.0, 1.283662, 0.001668, 15.0
1479345872.65448, 60.013, 43.592, 100.0, 1.287353, 0.002109, 1.5
1479345883.179512, 60.013, 43.613, 10000.0, 1.281191, 0.00122, 15.0
1479345895.704867, 60.013, 43.636, 1000.0, 1.2836635, 0.0016678, 15.0
1479345943.253349, 60.012, 43.725, 100.0, 1.287384, 0.002092, 1.5
1479345953.672605, 60.012, 43.747, 10000.0, 1.281189, 0.001216, 15.0
1479345966.105832, 60.012, 43.772, 1000.0, 1.283661, 0.001669, 15.0
1479346013.658808, 60.013, 43.879, 100.0, 1.287407, 0.00214, 1.5
1479346024.100063, 60.012, 43.899, 10000.0, 1.281189, 0.00122, 15.0
1479346036.540491, 60.013, 43.925, 1000.0, 1.283664, 0.001669, 15.0
1479346084.083838, 60.014, 44.024, 100.0, 1.287348, 0.002108, 1.5
1479346094.502561, 60.014, 44.047, 10000.0, 1.2811903, 0.0012241, 15.0
1479346106.93056, 60.013, 44.075, 1000.0, 1.283661, 0.00167, 15.0
1479346154.437389, 60.015, 44.184, 100.0, 1.287353, 0.00212, 1.5
1479346164.845944, 60.014, 44.208, 10000.0, 1.281191, 0.001223, 15.0
1479346177.294262, 60.015, 44.235, 1000.0, 1.283665, 0.001667, 15.0
1479346224.835754, 60.015, 44.341, 100.0, 1.287381, 0.002129, 1.5
1479346235.277514, 60.014, 44.366, 10000.0, 1.2811943, 0.001221, 15.0
1479346247.735719, 60.015, 44.396, 1000.0, 1.283665, 0.001668, 15.0
