# This data file was created on Thu Nov 17 12:21:37 2016
# GBA 124; 100V, 60K
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to LO
1479410514.911017, 60.49, 39.227, 10000.0, 1.281353, 0.001243, 15.0
1479410527.350787, 60.38, 39.346, 1000.0, 1.2838468, 0.0017056, 15.0
1479410574.88843, 60.091, 39.714, 100.0, 1.28744, 0.00216, 1.5
1479410585.317082, 60.053, 39.788, 10000.0, 1.281183, 0.0012203, 15.0
1479410597.751194, 60.02, 39.884, 1000.0, 1.283636, 0.00166, 15.0
1479410645.311198, 59.97, 40.24, 100.0, 1.297, -0.001, 1.5
1479410655.768091, 59.97, 40.315, 10000.0, 1.281291, 0.001222, 15.0
1479410668.21883, 59.974, 40.402, 1000.0, 1.283749, 0.001663, 15.0
1479410715.78619, 60.001, 40.719, 100.0, 1.287447, 0.002142, 1.5
1479410726.213657, 60.007, 40.786, 10000.0, 1.281305, 0.001222, 15.0
1479410738.614081, 60.015, 40.866, 1000.0, 1.283781, 0.00167, 15.0
1479410786.077954, 60.035, 41.163, 100.0, 1.287509, 0.002163, 1.5
1479410796.509926, 60.037, 41.226, 10000.0, 1.281321, 0.0012268, 15.0
1479410808.956749, 60.04, 41.302, 1000.0, 1.283805, 0.001674, 15.0
1479410856.455369, 60.044, 41.584, 100.0, 1.287527, 0.002161, 1.5
1479410866.864483, 60.044, 41.645, 10000.0, 1.281329, 0.001227, 15.0
1479410879.272641, 60.044, 41.717, 1000.0, 1.283813, 0.00168, 15.0
1479410926.8257, 60.041, 41.98, 100.0, 1.287592, 0.002155, 1.5
1479410937.280197, 60.039, 42.027, 10000.0, 1.281321, 0.001228, 15.0
1479410949.733989, 60.035, 42.076, 1000.0, 1.2837904, 0.0016719, 15.0
1479410997.232578, 60.022, 42.245, 100.0, 1.287538, 0.002079, 1.5
1479411007.659234, 60.02, 42.281, 10000.0, 1.28130031, 0.00122568, 15.0
1479411020.107317, 60.019, 42.324, 1000.0, 1.283768, 0.001667, 15.0
1479411067.653568, 60.016, 42.489, 100.0, 1.287494, 0.0021, 1.5
1479411078.092715, 60.016, 42.527, 10000.0, 1.2813, 0.001224, 15.0
1479411090.522336, 60.016, 42.572, 1000.0, 1.283763, 0.001665, 15.0
1479411138.071483, 60.019, 42.748, 100.0, 1.287469, 0.002162, 1.5
1479411148.508855, 60.02, 42.786, 10000.0, 1.2813, 0.001224, 15.0
1479411160.965342, 60.021, 42.833, 1000.0, 1.283762, 0.001658, 15.0
1479411208.530493, 60.024, 43.009, 100.0, 1.287484, 0.002145, 1.5
1479411218.939961, 60.024, 43.048, 10000.0, 1.2813012, 0.0012212, 15.0
1479411231.355078, 60.024, 43.094, 1000.0, 1.283772, 0.001667, 15.0
1479411278.853237, 60.025, 43.271, 100.0, 1.287502, 0.002127, 1.5
1479411289.255737, 60.025, 43.309, 10000.0, 1.281299, 0.001224, 15.0
1479411301.683918, 60.026, 43.355, 1000.0, 1.283781, 0.00167, 15.0
1479411349.23587, 60.027, 43.525, 100.0, 1.28753, 0.00215, 1.5
1479411359.686011, 60.027, 43.565, 10000.0, 1.281308, 0.001222, 15.0
1479411372.116712, 60.027, 43.613, 1000.0, 1.283784, 0.001671, 15.0
1479411419.642838, 60.027, 43.793, 100.0, 1.287516, 0.002116, 1.5
1479411430.049373, 60.027, 43.833, 10000.0, 1.281312, 0.001225, 15.0
1479411442.465741, 60.027, 43.88, 1000.0, 1.283788, 0.00167, 15.0
1479411489.987105, 60.027, 44.059, 100.0, 1.287484, 0.002128, 1.5
