# This data file was created on Tue Apr 11 11:53:04 2017
# Chip ID: 2-09... Sample: GBA129... Helium cooldown
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1491933208.295995, 299.828, 297.263, 12000.0, 1.81964, 0.000211, 15.0
1491933219.476088, 299.797, 297.264, 1400.0, 1.820062, 0.000204, 15.0
1491933237.663546, 299.746, 297.265, 400.0, 1.8203746, 0.00023049, 6.0
1491933244.574866, 299.728, 297.264, 12000.0, 1.8195963, 0.00021087, 15.0
1491933255.773253, 299.699, 297.263, 1400.0, 1.820075, 0.000216, 15.0
1491933273.974788, 299.651, 297.259, 400.0, 1.8203642, 0.00022912, 6.0
1491933280.900635, 299.633, 297.258, 12000.0, 1.819605, 0.000222, 15.0
1491933292.114374, 299.605, 297.256, 1400.0, 1.82007, 0.000212, 15.0
1491933310.302537, 299.56, 297.254, 400.0, 1.8203526, 0.0002293, 6.0
1491933317.180377, 299.543, 297.253, 12000.0, 1.819584, 0.000212, 15.0
1491933328.393269, 299.517, 297.251, 1400.0, 1.8200444, 0.0002068, 15.0
1491933346.580683, 299.474, 297.249, 400.0, 1.8203459, 0.0002293, 6.0
1491933353.522474, 299.458, 297.248, 12000.0, 1.819589, 0.000203, 15.0
1491933364.721399, 299.433, 297.247, 1400.0, 1.820049, 0.000207, 15.0
1491933382.922424, 299.392, 297.244, 400.0, 1.8203365, 0.0002264, 6.0
1491933389.848683, 299.377, 297.243, 12000.0, 1.819587, 0.000204, 15.0
1491933401.0296, 299.353, 297.241, 1400.0, 1.820039, 0.0002104, 15.0
1491933419.247119, 299.315, 297.238, 400.0, 1.8203235, 0.00022644, 6.0
1491933426.158546, 299.3, 297.237, 12000.0, 1.819567, 0.000208, 15.0
1491933437.340632, 299.277, 297.236, 1400.0, 1.820047, 0.000211, 15.0
1491933455.526152, 299.241, 297.233, 400.0, 1.8203144, 0.00022589, 6.0
1491933462.404336, 299.228, 297.231, 12000.0, 1.819567, 0.000201, 15.0
1491933473.617347, 299.206, 297.229, 1400.0, 1.820031, 0.000206, 15.0
1491933491.803712, 299.171, 297.224, 400.0, 1.8203078, 0.0002245, 6.0
1491933498.730543, 299.158, 297.222, 12000.0, 1.819567, 0.000204, 15.0
1491933509.961649, 299.137, 297.213, 1400.0, 1.820013, 0.0002071, 15.0
1491933528.195906, 299.104, 297.174, 400.0, 1.8202986, 0.0002254, 6.0
1491933535.12331, 299.092, 297.141, 12000.0, 1.81954, 0.000203, 15.0
1491933546.320712, 299.07, 297.051, 1400.0, 1.820002, 0.000205, 15.0
1491933564.569843, 299.034, 296.744, 400.0, 1.8202897, 0.0002227, 6.0
1491933571.497503, 299.018, 296.553, 12000.0, 1.819538, 0.00021, 15.0
1491933582.743205, 298.989, 296.134, 1400.0, 1.819992, 0.000204, 15.0
1491933600.994221, 298.93, 295.145, 400.0, 1.8202793, 0.000223, 6.0
1491933607.889031, 298.902, 294.669, 12000.0, 1.819509, 0.000209, 15.0
1491933619.08526, 298.849, 293.786, 1400.0, 1.819983, 0.000202, 15.0
1491933637.287612, 298.739, 292.104, 400.0, 1.8202696, 0.0002223, 6.0
1491933644.263761, 298.688, 291.392, 12000.0, 1.819531, 0.000202, 15.0
1491933655.474954, 298.594, 290.188, 1400.0, 1.819947, 0.000208, 15.0
1491933673.742261, 298.409, 288.098, 400.0, 1.8202506, 0.0002209, 6.0
1491933680.667339, 298.329, 287.282, 12000.0, 1.819503, 0.00019, 15.0
1491933691.85108, 298.186, 285.933, 1400.0, 1.819941, 0.000215, 15.0
1491933710.05493, 297.92, 283.706, 400.0, 1.8202243, 0.00021843, 6.0
1491933716.979968, 297.808, 282.851, 12000.0, 1.819453, 0.000195, 15.0
1491933728.179143, 297.615, 281.469, 1400.0, 1.819927, 0.000205, 15.0
1491933746.381457, 297.269, 279.234, 400.0, 1.8201801, 0.0002152, 6.0
1491933753.354018, 297.127, 278.377, 12000.0, 1.81946, 0.000192, 15.0
1491933764.601907, 296.885, 277.001, 1400.0, 1.819885, 0.000191, 15.0
1491933782.85299, 296.46, 274.8, 400.0, 1.8201312, 0.00021097, 6.0
1491933789.747663, 296.291, 273.98, 12000.0, 1.819405, 0.000204, 15.0
1491933800.976362, 296.005, 272.654, 1400.0, 1.819833, 0.000193, 15.0
1491933819.19489, 295.512, 270.554, 400.0, 1.8200714, 0.00020795, 6.0
1491933826.187176, 295.315, 269.762, 12000.0, 1.819324, 0.000197, 15.0
1491933837.401416, 294.989, 268.501, 1400.0, 1.819778, 0.0001945, 15.0
1491933855.61933, 294.434, 266.507, 400.0, 1.8200121, 0.00020329, 6.0
1491933862.497299, 294.218, 265.766, 12000.0, 1.81928, 0.00019, 15.0
1491933873.710813, 293.857, 264.579, 1400.0, 1.819713, 0.00019, 15.0
1491933891.896907, 293.25, 262.695, 400.0, 1.8199538, 0.0001983, 6.0
1491933898.809435, 293.013, 261.992, 12000.0, 1.81924, 0.000189, 15.0
1491933910.054996, 292.624, 260.871, 1400.0, 1.819676, 0.000186, 15.0
1491933928.239226, 291.97, 259.078, 400.0, 1.8198901, 0.0001944, 6.0
1491933935.181367, 291.716, 258.408, 12000.0, 1.819189, 0.000197, 15.0
1491933946.396429, 291.301, 257.342, 1400.0, 1.819608, 0.000181, 15.0
1491933964.61361, 290.609, 255.647, 400.0, 1.8198245, 0.0001903, 6.0
1491933971.508059, 290.343, 255.019, 12000.0, 1.819137, 0.000188, 15.0
1491933982.755331, 289.905, 254.008, 1400.0, 1.819555, 0.000182, 15.0
1491934001.022413, 289.18, 252.406, 400.0, 1.8197619, 0.00018502, 6.0
1491934007.933357, 288.901, 251.817, 12000.0, 1.819092, 0.000174, 15.0
1491934019.145163, 288.446, 250.872, 1400.0, 1.819472, 0.000174, 15.0
1491934037.412133, 287.693, 249.368, 400.0, 1.8196937, 0.0001818, 6.0
1491934044.323014, 287.403, 248.813, 12000.0, 1.819043, 0.000176, 15.0
1491934055.519408, 286.932, 247.921, 1400.0, 1.819416, 0.00017, 15.0
1491934073.754015, 286.156, 246.497, 400.0, 1.8196242, 0.0001767, 6.0
1491934080.648704, 285.861, 245.91, 12000.0, 1.818953, 0.000174, 15.0
1491934091.892859, 285.377, 244.757, 1400.0, 1.819346, 0.000163, 15.0
1491934110.0833, 284.574, 242.589, 400.0, 1.8195408, 0.0001723, 6.0
1491934116.97638, 284.266, 241.717, 12000.0, 1.818915, 0.000164, 15.0
1491934128.153676, 283.756, 240.273, 1400.0, 1.819285, 0.000161, 15.0
1491934146.341362, 282.911, 237.916, 400.0, 1.81947842, 0.00016847, 6.0
1491934153.25238, 282.585, 237.029, 12000.0, 1.818859, 0.000184, 15.0
1491934164.434553, 282.047, 235.599, 1400.0, 1.819212, 0.000162, 15.0
