# This data file was created on Tue Apr 11 13:32:50 2017
# Chip ID: 2-09... Sample: GBA129... Helium cooldown... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1491933237.6635461, 299.74599999999998, 297.26499999999999, 1.8203746000000001, 0.00023049, 6.0, 400, 1491933219.476088, 299.79700000000003, 297.26400000000001, 1.8200620000000001, 0.000204, 15.0, 1400, 1491933208.295995, 299.82799999999997, 297.26299999999998, 1.8196399999999999, 0.00021100000000000001, 15.0, 12000
1491933273.974788, 299.65100000000001, 297.25900000000001, 1.8203642, 0.00022912, 6.0, 400, 1491933255.773253, 299.69900000000001, 297.26299999999998, 1.8200750000000001, 0.00021599999999999999, 15.0, 1400, 1491933244.5748661, 299.72800000000001, 297.26400000000001, 1.8195962999999999, 0.00021086999999999999, 15.0, 12000
1491933310.302537, 299.56, 297.25400000000002, 1.8203526000000001, 0.00022929999999999999, 6.0, 400, 1491933292.1143739, 299.60500000000002, 297.25599999999997, 1.8200700000000001, 0.000212, 15.0, 1400, 1491933280.900635, 299.63299999999998, 297.25799999999998, 1.8196049999999999, 0.000222, 15.0, 12000
1491933346.580683, 299.47399999999999, 297.24900000000002, 1.8203459, 0.00022929999999999999, 6.0, 400, 1491933328.3932691, 299.517, 297.25099999999998, 1.8200444, 0.00020680000000000001, 15.0, 1400, 1491933317.180377, 299.54300000000001, 297.25299999999999, 1.8195840000000001, 0.000212, 15.0, 12000
1491933382.9224241, 299.392, 297.24400000000003, 1.8203365, 0.0002264, 6.0, 400, 1491933364.7213991, 299.43299999999999, 297.24700000000001, 1.820049, 0.00020699999999999999, 15.0, 1400, 1491933353.5224741, 299.45800000000003, 297.24799999999999, 1.8195889999999999, 0.000203, 15.0, 12000
1491933419.2471189, 299.315, 297.238, 1.8203235, 0.00022644000000000001, 6.0, 400, 1491933401.0295999, 299.35300000000001, 297.24099999999999, 1.820039, 0.00021039999999999999, 15.0, 1400, 1491933389.8486831, 299.37700000000001, 297.24299999999999, 1.8195870000000001, 0.000204, 15.0, 12000
1491933455.5261519, 299.24099999999999, 297.233, 1.8203144, 0.00022588999999999999, 6.0, 400, 1491933437.340632, 299.27699999999999, 297.23599999999999, 1.820047, 0.00021100000000000001, 15.0, 1400, 1491933426.158546, 299.30000000000001, 297.23700000000002, 1.8195669999999999, 0.00020799999999999999, 15.0, 12000
1491933491.8037119, 299.17099999999999, 297.22399999999999, 1.8203077999999999, 0.00022450000000000001, 6.0, 400, 1491933473.617347, 299.20600000000002, 297.22899999999998, 1.820031, 0.00020599999999999999, 15.0, 1400, 1491933462.404336, 299.22800000000001, 297.23099999999999, 1.8195669999999999, 0.00020100000000000001, 15.0, 12000
1491933528.1959059, 299.10399999999998, 297.17399999999998, 1.8202986000000001, 0.0002254, 6.0, 400, 1491933509.9616489, 299.137, 297.21300000000002, 1.8200130000000001, 0.00020709999999999999, 15.0, 1400, 1491933498.7305429, 299.15800000000002, 297.22199999999998, 1.8195669999999999, 0.000204, 15.0, 12000
1491933564.5698431, 299.03399999999999, 296.74400000000003, 1.8202897, 0.00022269999999999999, 6.0, 400, 1491933546.3207121, 299.06999999999999, 297.05099999999999, 1.8200019999999999, 0.000205, 15.0, 1400, 1491933535.1233101, 299.09199999999998, 297.14100000000002, 1.8195399999999999, 0.000203, 15.0, 12000
1491933600.994221, 298.93000000000001, 295.14499999999998, 1.8202792999999999, 0.000223, 6.0, 400, 1491933582.7432051, 298.98899999999998, 296.13400000000001, 1.8199920000000001, 0.000204, 15.0, 1400, 1491933571.497503, 299.01799999999997, 296.553, 1.8195380000000001, 0.00021000000000000001, 15.0, 12000
1491933637.287612, 298.73899999999998, 292.10399999999998, 1.8202696, 0.00022230000000000001, 6.0, 400, 1491933619.0852599, 298.84899999999999, 293.786, 1.8199829999999999, 0.000202, 15.0, 1400, 1491933607.8890309, 298.90199999999999, 294.66899999999998, 1.819509, 0.00020900000000000001, 15.0, 12000
1491933673.7422609, 298.40899999999999, 288.09800000000001, 1.8202506000000001, 0.0002209, 6.0, 400, 1491933655.4749539, 298.59399999999999, 290.18799999999999, 1.819947, 0.00020799999999999999, 15.0, 1400, 1491933644.263761, 298.68799999999999, 291.392, 1.819531, 0.000202, 15.0, 12000
1491933710.05493, 297.92000000000002, 283.70600000000002, 1.8202243, 0.00021843000000000001, 6.0, 400, 1491933691.8510799, 298.18599999999998, 285.93299999999999, 1.819941, 0.00021499999999999999, 15.0, 1400, 1491933680.6673391, 298.32900000000001, 287.28199999999998, 1.8195030000000001, 0.00019000000000000001, 15.0, 12000
1491933746.3814571, 297.26900000000001, 279.23399999999998, 1.8201801, 0.0002152, 6.0, 400, 1491933728.179143, 297.61500000000001, 281.46899999999999, 1.8199270000000001, 0.000205, 15.0, 1400, 1491933716.9799681, 297.80799999999999, 282.851, 1.819453, 0.000195, 15.0, 12000
1491933782.8529899, 296.45999999999998, 274.80000000000001, 1.8201312000000001, 0.00021096999999999999, 6.0, 400, 1491933764.601907, 296.88499999999999, 277.00099999999998, 1.819885, 0.00019100000000000001, 15.0, 1400, 1491933753.354018, 297.12700000000001, 278.37700000000001, 1.8194600000000001, 0.000192, 15.0, 12000
1491933819.19489, 295.512, 270.55399999999997, 1.8200714, 0.00020795000000000001, 6.0, 400, 1491933800.976362, 296.005, 272.654, 1.819833, 0.000193, 15.0, 1400, 1491933789.747663, 296.291, 273.98000000000002, 1.8194049999999999, 0.000204, 15.0, 12000
