# This data file was created on Tue Apr 11 13:33:11 2017
# Chip ID: 2-09... Sample: GBA129... sweeping peaks
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1491939215.625915, 12.08, 7.0065, 12000.0, 1.78934, 0.000178, 15.0
1491939226.823084, 12.445, 7.0199, 1400.0, 1.789692, 0.000163, 15.0
1491939245.020706, 13.129, 7.085, 400.0, 1.7899282, 0.00016391, 6.0
1491939251.922214, 13.416, 7.0212, 12000.0, 1.789384, 0.00017, 15.0
1491939263.151703, 13.906, 7.0792, 1400.0, 1.789764, 0.0001681, 15.0
1491939281.349961, 14.766, 7.2466, 400.0, 1.7899866, 0.0001661, 6.0
1491939288.251732, 15.108, 7.2069, 12000.0, 1.789387, 0.000161, 15.0
1491939299.434191, 15.903, 7.2913, 1400.0, 1.789828, 0.000174, 15.0
1491939317.631739, 16.958, 7.3264, 400.0, 1.7900861, 0.0001717, 6.0
1491939324.565477, 17.375, 7.3072, 12000.0, 1.7895, 0.000189, 15.0
1491939335.762952, 18.047, 7.3631, 1400.0, 1.789911, 0.000178, 15.0
1491939353.962967, 19.158, 7.5295, 400.0, 1.7901889, 0.0001779, 6.0
1491939360.848719, 19.582, 7.5497, 12000.0, 1.789559, 0.000191, 15.0
1491939372.061844, 20.278, 7.4872, 1400.0, 1.790019, 0.000182, 15.0
1491939390.244613, 21.411, 7.6401, 400.0, 1.7903075, 0.0001855, 6.0
1491939397.146053, 21.854, 7.7268, 12000.0, 1.789671, 0.000195, 15.0
1491939408.329299, 22.545, 7.7322, 1400.0, 1.790137, 0.000188, 15.0
1491939426.527391, 23.702, 7.8466, 400.0, 1.7904482, 0.00019515, 6.0
1491939433.428488, 24.149, 7.9425, 12000.0, 1.78982, 0.000195, 15.0
1491939444.611527, 24.833, 8.1521, 1400.0, 1.790279, 0.000193, 15.0
1491939462.795126, 25.974, 8.2218, 400.0, 1.7906149, 0.000207, 6.0
1491939469.695992, 26.463, 8.2372, 12000.0, 1.789933, 0.000215, 15.0
1491939480.893566, 27.168, 8.3343, 1400.0, 1.790435, 0.000216, 15.0
1491939499.107692, 28.351, 8.4633, 400.0, 1.7908052, 0.0002219, 6.0
1491939506.009332, 28.792, 8.5628, 12000.0, 1.790085, 0.00021, 15.0
1491939517.207015, 29.524, 8.5554, 1400.0, 1.790616, 0.000231, 15.0
1491939535.406665, 30.833, 8.8097, 400.0, 1.7910192, 0.0002396, 6.0
1491939542.292877, 31.45, 8.8443, 12000.0, 1.790243, 0.000244, 15.0
1491939553.473993, 32.284, 8.9748, 1400.0, 1.790851, 0.000244, 15.0
1491939571.688444, 33.541, 9.0782, 400.0, 1.7913078, 0.00026617, 6.0
1491939578.575312, 34.006, 9.1463, 12000.0, 1.790409, 0.000256, 15.0
1491939589.741616, 34.775, 9.2438, 1400.0, 1.791094, 0.000275, 15.0
