# This data file was created on Tue Apr 11 14:15:45 2017
# Chip ID: 2-09... Sample: GBA129... sweeping peaks... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1491939245.0207059, 13.129, 7.085, 1.7899282000000001, 0.00016390999999999999, 6.0, 400, 1491939226.8230841, 12.445, 7.0198999999999998, 1.7896920000000001, 0.000163, 15.0, 1400, 1491939215.6259151, 12.08, 7.0065, 1.7893399999999999, 0.00017799999999999999, 15.0, 12000
1491939281.349961, 14.766, 7.2465999999999999, 1.7899866, 0.0001661, 6.0, 400, 1491939263.1517029, 13.906000000000001, 7.0792000000000002, 1.7897639999999999, 0.00016809999999999999, 15.0, 1400, 1491939251.922214, 13.416, 7.0212000000000003, 1.7893840000000001, 0.00017000000000000001, 15.0, 12000
1491939317.6317389, 16.957999999999998, 7.3263999999999996, 1.7900860999999999, 0.0001717, 6.0, 400, 1491939299.434191, 15.903, 7.2912999999999997, 1.789828, 0.000174, 15.0, 1400, 1491939288.2517321, 15.108000000000001, 7.2069000000000001, 1.7893870000000001, 0.00016100000000000001, 15.0, 12000
1491939353.9629669, 19.158000000000001, 7.5294999999999996, 1.7901889, 0.00017789999999999999, 6.0, 400, 1491939335.7629521, 18.047000000000001, 7.3631000000000002, 1.789911, 0.00017799999999999999, 15.0, 1400, 1491939324.5654769, 17.375, 7.3071999999999999, 1.7895000000000001, 0.00018900000000000001, 15.0, 12000
1491939390.2446129, 21.411000000000001, 7.6401000000000003, 1.7903074999999999, 0.00018550000000000001, 6.0, 400, 1491939372.0618441, 20.277999999999999, 7.4871999999999996, 1.790019, 0.00018200000000000001, 15.0, 1400, 1491939360.8487189, 19.582000000000001, 7.5496999999999996, 1.7895589999999999, 0.00019100000000000001, 15.0, 12000
1491939426.527391, 23.702000000000002, 7.8465999999999996, 1.7904481999999999, 0.00019515, 6.0, 400, 1491939408.329299, 22.545000000000002, 7.7321999999999997, 1.7901370000000001, 0.00018799999999999999, 15.0, 1400, 1491939397.1460531, 21.853999999999999, 7.7267999999999999, 1.789671, 0.000195, 15.0, 12000
1491939462.795126, 25.974, 8.2218, 1.7906149, 0.00020699999999999999, 6.0, 400, 1491939444.611527, 24.832999999999998, 8.1521000000000008, 1.790279, 0.000193, 15.0, 1400, 1491939433.428488, 24.149000000000001, 7.9424999999999999, 1.78982, 0.000195, 15.0, 12000
1491939499.107692, 28.350999999999999, 8.4633000000000003, 1.7908052000000001, 0.0002219, 6.0, 400, 1491939480.8935659, 27.167999999999999, 8.3343000000000007, 1.790435, 0.00021599999999999999, 15.0, 1400, 1491939469.695992, 26.463000000000001, 8.2371999999999996, 1.789933, 0.00021499999999999999, 15.0, 12000
1491939535.4066651, 30.832999999999998, 8.8096999999999994, 1.7910192, 0.0002396, 6.0, 400, 1491939517.207015, 29.524000000000001, 8.5554000000000006, 1.790616, 0.000231, 15.0, 1400, 1491939506.0093319, 28.792000000000002, 8.5627999999999993, 1.7900849999999999, 0.00021000000000000001, 15.0, 12000
1491939571.6884439, 33.540999999999997, 9.0782000000000007, 1.7913078, 0.00026616999999999998, 6.0, 400, 1491939553.4739931, 32.283999999999999, 8.9748000000000001, 1.790851, 0.00024399999999999999, 15.0, 1400, 1491939542.292877, 31.449999999999999, 8.8443000000000005, 1.790243, 0.00024399999999999999, 15.0, 12000
1491939607.925734, 35.999000000000002, 9.3742999999999999, 1.7915795999999999, 0.00029349999999999998, 6.0, 400, 1491939589.741616, 34.774999999999999, 9.2438000000000002, 1.791094, 0.00027500000000000002, 15.0, 1400, 1491939578.5753119, 34.006, 9.1463000000000001, 1.7904089999999999, 0.00025599999999999999, 15.0, 12000
1491939644.302139, 38.468000000000004, 9.6539999999999999, 1.7918921000000001, 0.00032860000000000002, 6.0, 400, 1491939626.0567739, 37.241999999999997, 9.4822000000000006, 1.791318, 0.00029700000000000001, 15.0, 1400, 1491939614.8578229, 36.481000000000002, 9.2515999999999998, 1.7906420000000001, 0.00026400000000000002, 15.0, 12000
1491939680.697948, 40.920000000000002, 9.9845000000000006, 1.7922351999999999, 0.00036959999999999998, 6.0, 400, 1491939662.4825311, 39.703000000000003, 9.8651999999999997, 1.7916240000000001, 0.000328, 15.0, 1400, 1491939651.2518589, 38.938000000000002, 9.7230000000000008, 1.790845, 0.00029599999999999998, 15.0, 12000
