# This data file was created on Fri Mar 17 15:55:09 2017
# Chip ID: 2-12... Sample: GBA131 (in parabar)... liquid nitrogen cooldown to test parabar
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1489787727.771215, 300.004, 297.008, 14000.0, 2.29811, 0.0007, 15.0
1489787737.329757, 300.002, 297.008, 1400.0, 2.300673, 0.001784, 15.0
1489787753.702043, 300.0, 297.006, 400.0, 2.3026905, 0.00327786, 6.0
1489787763.061449, 299.998, 297.005, 14000.0, 2.2982, 0.000791, 15.0
1489787772.618486, 299.996, 297.003, 1400.0, 2.300729, 0.00178, 15.0
1489787788.988184, 299.996, 297.001, 400.0, 2.3027321, 0.00327498, 6.0
1489787798.346919, 299.998, 297.0, 14000.0, 2.29835, 0.000708, 15.0
1489787807.916134, 299.997, 296.999, 1400.0, 2.300768, 0.0017857, 15.0
1489787824.284427, 299.997, 296.996, 400.0, 2.3027591, 0.00327728, 6.0
1489787833.648183, 299.996, 296.995, 14000.0, 2.2984, 0.000704, 15.0
1489787843.212534, 299.997, 296.994, 1400.0, 2.300784, 0.001783, 15.0
1489787859.578983, 299.998, 296.993, 400.0, 2.3027936, 0.00328002, 6.0
1489787868.938766, 299.998, 296.992, 14000.0, 2.29844, 0.000726, 15.0
1489787878.503549, 299.996, 296.99, 1400.0, 2.300826, 0.001792, 15.0
1489787894.867616, 299.999, 296.991, 400.0, 2.3028414, 0.00328533, 6.0
1489787904.237954, 300.001, 296.991, 14000.0, 2.29848, 0.00075, 15.0
1489787913.799853, 300.001, 296.989, 1400.0, 2.300859, 0.001784, 15.0
1489787930.174294, 300.0, 296.985, 400.0, 2.3028621, 0.0032823, 6.0
1489787939.540332, 300.0, 296.984, 14000.0, 2.29848, 0.00078, 15.0
1489787949.106233, 300.001, 296.984, 1400.0, 2.3009, 0.001806, 15.0
1489787965.476579, 299.999, 296.984, 400.0, 2.3028938, 0.00328231, 6.0
1489787974.846762, 299.999, 296.983, 14000.0, 2.29848, 0.00069, 15.0
1489787984.417265, 299.997, 296.98, 1400.0, 2.3009277, 0.0017923, 15.0
1489788000.793334, 300.0, 296.981, 400.0, 2.3029551, 0.00330691, 6.0
1489788010.154136, 299.998, 296.978, 14000.0, 2.29857, 0.000765, 15.0
1489788019.719307, 299.993, 296.974, 1400.0, 2.300972, 0.001799, 15.0
1489788036.085969, 299.988, 296.972, 400.0, 2.3030049, 0.0033268, 6.0
1489788045.451293, 299.987, 296.974, 14000.0, 2.29841, 0.00079, 15.0
1489788055.017356, 299.989, 296.972, 1400.0, 2.301023, 0.001811, 15.0
1489788071.388849, 299.991, 296.966, 400.0, 2.3030527, 0.0033251, 6.0
1489788080.760017, 299.991, 296.964, 14000.0, 2.298477, 0.000698, 15.0
1489788090.325829, 299.992, 296.962, 1400.0, 2.301033, 0.001794, 15.0
1489788106.69545, 299.992, 296.959, 400.0, 2.303066, 0.00331301, 6.0
1489788116.065215, 299.992, 296.956, 14000.0, 2.29867, 0.00071, 15.0
1489788125.634025, 299.992, 296.952, 1400.0, 2.3010658, 0.0017916, 15.0
1489788142.009158, 299.988, 296.949, 400.0, 2.3031016, 0.00330498, 6.0
1489788151.368844, 299.989, 296.945, 14000.0, 2.2987, 0.000721, 15.0
1489788160.941036, 299.993, 296.944, 1400.0, 2.30114, 0.001804, 15.0
1489788177.311169, 299.998, 296.942, 400.0, 2.3031698, 0.0033169, 6.0
1489788186.680243, 299.998, 296.941, 14000.0, 2.29872, 0.00079, 15.0
1489788196.244733, 300.0, 296.939, 1400.0, 2.301165, 0.001794, 15.0
1489788212.614652, 299.998, 296.934, 400.0, 2.3031795, 0.0033081, 6.0
1489788221.982137, 300.002, 296.934, 14000.0, 2.29857, 0.00077, 15.0
1489788231.549586, 300.004, 296.933, 1400.0, 2.301201, 0.00181, 15.0
1489788247.929408, 300.003, 296.931, 400.0, 2.3032104, 0.0033187, 6.0
1489788257.316118, 300.003, 296.927, 14000.0, 2.2988, 0.00072, 15.0
1489788266.905661, 300.002, 296.925, 1400.0, 2.301201, 0.0017957, 15.0
1489788283.295504, 299.996, 296.663, 400.0, 2.3032156, 0.003306, 6.0
1489788292.687687, 299.987, 296.341, 14000.0, 2.29866, 0.0007, 15.0
1489788302.282361, 299.971, 295.864, 1400.0, 2.301229, 0.001799, 15.0
1489788318.677645, 299.941, 294.744, 400.0, 2.303109, 0.003199, 6.0
1489788328.069351, 299.917, 293.974, 14000.0, 2.29851, 0.000739, 15.0
1489788337.648332, 299.885, 293.105, 1400.0, 2.300913, 0.0016024, 15.0
1489788354.043676, 299.816, 291.353, 400.0, 2.302529, 0.0026723, 6.0
1489788363.429008, 299.77, 290.193, 14000.0, 2.29837, 0.000673, 15.0
1489788373.008897, 299.707, 288.841, 1400.0, 2.300466, 0.001341, 15.0
1489788389.404416, 299.573, 286.159, 400.0, 2.301275, 0.001845, 6.0
1489788398.796717, 299.497, 284.457, 14000.0, 0.05518, 0.0025, 15.0
1489788408.390944, 299.438, 282.57, 1400.0, 0.046101, 0.0003, 15.0
1489788424.791643, 299.362, 279.052, 400.0, 0.04047, 0.0004, 6.0
1489788434.177086, 299.323, 276.838, 14000.0, 0.0369, 0.0035, 15.0
1489788443.762246, 299.295, 274.804, 1400.0, 0.006529, 0.0009, 15.0
1489788460.162875, 299.229, 270.51, 400.0, 0.0065217, 0.0007, 6.0
