# This data file was created on Fri Apr  7 10:43:21 2017
# Chip ID: 2-06... Sample: GBA131 in parabar cycled... recycle
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1491583425.177585, 300.0, 300.0, 12000.0, 2.02744, 0.000408, 15.0
1491583435.139149, 300.0, 299.999, 1400.0, 2.0282741, 0.0003181, 15.0
1491583452.092006, 300.0, 300.0, 400.0, 2.0287354, 0.00032419, 6.0
1491583458.311432, 300.0, 300.0, 12000.0, 2.02742, 0.00041, 15.0
1491583468.787711, 300.0, 300.0, 1400.0, 2.028285, 0.000314, 15.0
1491583485.742141, 300.0, 300.0, 400.0, 2.028739, 0.0003244, 6.0
1491583491.940103, 300.0, 299.999, 12000.0, 2.027456, 0.000407, 15.0
1491583501.891216, 300.0, 300.0, 1400.0, 2.0282736, 0.0003168, 15.0
1491583518.580603, 300.0, 300.0, 400.0, 2.0287407, 0.00032552, 6.0
1491583524.788522, 299.999, 300.0, 12000.0, 2.027404, 0.000409, 15.0
1491583535.231423, 299.999, 299.999, 1400.0, 2.02829, 0.000315, 15.0
1491583552.679772, 299.999, 299.998, 400.0, 2.0287439, 0.00032454, 6.0
1491583558.399973, 299.997, 299.997, 12000.0, 2.027439, 0.000394, 15.0
1491583568.859875, 299.993, 299.993, 1400.0, 2.028279, 0.000317, 15.0
1491583586.336429, 299.98, 299.978, 400.0, 2.0287499, 0.00032641, 6.0
# 
1491583595.323283, 299.969, 299.967, -1, -1, -1, -1
1491583605.782167, 299.953, 299.95, 1400.0, 2.028292, 0.0003214, 15.0
1491583622.768834, 299.921, 299.917, 400.0, 2.028752, 0.00032383, 6.0
1491583628.998363, 299.909, 299.905, 12000.0, 2.027429, 0.000414, 15.0
1491583638.964572, 299.888, 299.885, 1400.0, 2.028292, 0.000324, 15.0
1491583655.386347, 299.858, 299.855, 400.0, 2.02876117, 0.00032496, 6.0
