# This data file was created on Fri Apr  7 11:11:13 2017
# Chip ID: 2-06... Sample: GBA131 in parabar... cool down nitro
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1491585097.814072, 279.932, 267.275, 12000.0, 2.030025, 0.000658, 15.0
1491585109.028811, 279.826, 267.204, 1400.0, 2.031248, 0.000373, 15.0
1491585127.2113, 279.654, 267.085, 400.0, 2.0317565, 0.00032178, 6.0
1491585134.097235, 279.59, 267.045, 12000.0, 2.030015, 0.000649, 15.0
1491585145.31156, 279.486, 266.977, 1400.0, 2.031293, 0.00038, 15.0
1491585163.493385, 279.318, 266.869, 400.0, 2.0318088, 0.00032112, 6.0
1491585170.346845, 279.255, 266.828, 12000.0, 2.030062, 0.000668, 15.0
1491585181.577277, 279.152, 266.768, 1400.0, 2.031333, 0.000386, 15.0
1491585199.775499, 278.987, 266.674, 400.0, 2.0318646, 0.0003224, 6.0
1491585206.661723, 278.925, 266.64, 12000.0, 2.030104, 0.000667, 15.0
1491585217.859065, 278.825, 266.584, 1400.0, 2.031393, 0.000385, 15.0
1491585236.059708, 278.665, 266.493, 400.0, 2.0319187, 0.00032417, 6.0
1491585242.993292, 278.603, 266.458, 12000.0, 2.030148, 0.00067, 15.0
1491585254.19171, 278.506, 266.407, 1400.0, 2.031426, 0.000395, 15.0
1491585272.374725, 278.348, 266.324, 400.0, 2.03196943, 0.00032536, 6.0
1491585279.275774, 278.289, 266.293, 12000.0, 2.030194, 0.000674, 15.0
1491585290.489138, 278.193, 266.24, 1400.0, 2.031489, 0.0003948, 15.0
1491585308.706354, 278.04, 266.155, 400.0, 2.03201939, 0.00032593, 6.0
1491585315.5918, 277.982, 266.126, 12000.0, 2.030202, 0.000676, 15.0
1491585326.758078, 277.888, 266.081, 1400.0, 2.0315314, 0.0003927, 15.0
1491585344.988732, 277.738, 266.013, 400.0, 2.0320655, 0.00032606, 6.0
1491585351.922135, 277.681, 265.988, 12000.0, 2.0302447, 0.0006921, 15.0
1491585363.088382, 277.59, 265.946, 1400.0, 2.031591, 0.0003991, 15.0
1491585381.317872, 277.443, 265.418, 400.0, 2.0321149, 0.0003281, 6.0
1491585388.267226, 277.385, 264.859, 12000.0, 2.030283, 0.000703, 15.0
1491585399.512376, 277.286, 264.328, 1400.0, 2.03163, 0.000401, 15.0
1491585417.758633, 277.116, 264.083, 400.0, 2.0321653, 0.00032782, 6.0
1491585424.693053, 277.05, 264.056, 12000.0, 2.03032, 0.000716, 15.0
1491585435.905508, 276.945, 264.018, 1400.0, 2.03169, 0.0004035, 15.0
