# This data file was created on Mon Apr 10 10:58:22 2017
# Chip ID: 2-06... Sample: GA131 in parabar... Cool down with 100V applied
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to low
1491843546.046577, 296.894, 296.09, 12000.0, 2.038785, 0.000436, 15.0
1491843557.213512, 296.893, 296.09, 1400.0, 2.039938, 0.000338, 15.0
1491843575.411611, 296.893, 296.091, 400.0, 2.041105, 0.0003375, 6.0
1491843582.361028, 296.894, 296.091, 12000.0, 2.03993, 0.000446, 15.0
1491843593.59164, 296.894, 296.091, 1400.0, 2.04101, 0.00034, 15.0
1491843611.789874, 296.894, 296.091, 400.0, 2.041763, 0.000318, 6.0
1491843618.707592, 296.894, 296.091, 12000.0, 2.040493, 0.000452, 15.0
1491843629.92203, 296.894, 296.091, 1400.0, 2.041514, 0.000334, 15.0
1491843648.118159, 296.894, 296.091, 400.0, 2.04217, 0.0003419, 6.0
1491843655.003721, 296.894, 296.091, 12000.0, 2.0408631, 0.0004491, 15.0
1491843666.234171, 296.894, 296.091, 1400.0, 2.041829, 0.000341, 15.0
1491843684.447451, 296.894, 296.091, 400.0, 2.0424735, 0.0003404, 6.0
1491843691.300787, 296.894, 296.091, 12000.0, 2.041144, 0.000451, 15.0
1491843702.529975, 296.895, 296.092, 1400.0, 2.042105, 0.0003383, 15.0
1491843720.71457, 296.895, 296.092, 400.0, 2.04272, 0.0003418, 6.0
1491843727.615901, 296.895, 296.092, 12000.0, 2.041363, 0.000435, 15.0
1491843738.829378, 296.895, 296.092, 1400.0, 2.042332, 0.000337, 15.0
1491843757.029463, 296.895, 296.092, 400.0, 2.0429253, 0.0003416, 6.0
1491843763.947242, 296.895, 296.092, 12000.0, 2.04158, 0.000446, 15.0
1491843775.160463, 296.895, 296.092, 1400.0, 2.042527, 0.000349, 15.0
1491843793.357975, 296.895, 296.092, 400.0, 2.0431086, 0.0003438, 6.0
1491843800.275246, 296.895, 296.092, 12000.0, 2.041737, 0.000448, 15.0
1491843811.521594, 296.895, 296.092, 1400.0, 2.04271, 0.000347, 15.0
1491843829.76797, 296.895, 296.092, 400.0, 2.0432869, 0.0003437, 6.0
1491843836.701192, 296.896, 296.092, 12000.0, 2.0419, 0.000439, 15.0
1491843847.913903, 296.896, 296.092, 1400.0, 2.042859, 0.000343, 15.0
1491843866.159387, 296.896, 296.092, 400.0, 2.0434357, 0.0003461, 6.0
1491843873.076767, 296.896, 296.092, 12000.0, 2.042026, 0.000437, 15.0
1491843884.290244, 296.896, 296.092, 1400.0, 2.042991, 0.000346, 15.0
1491843902.489716, 296.896, 296.093, 400.0, 2.0435556, 0.0003452, 6.0
1491843909.406581, 296.896, 296.093, 12000.0, 2.04215, 0.000456, 15.0
1491843920.634932, 296.896, 296.093, 1400.0, 2.043118, 0.000342, 15.0
1491843938.866105, 296.897, 296.093, 400.0, 2.0436758, 0.0003459, 6.0
1491843945.753843, 296.896, 296.093, 12000.0, 2.04225, 0.000443, 15.0
1491843956.998464, 296.896, 296.093, 1400.0, 2.043229, 0.0003421, 15.0
1491843975.247652, 296.896, 296.093, 400.0, 2.04379, 0.0003485, 6.0
1491843982.180942, 296.897, 296.093, 12000.0, 2.04238, 0.000462, 15.0
1491843993.39383, 296.897, 296.093, 1400.0, 2.043346, 0.000345, 15.0
1491844011.623531, 296.897, 296.094, 400.0, 2.0438996, 0.0003476, 6.0
1491844018.557323, 296.897, 296.094, 12000.0, 2.042488, 0.000443, 15.0
1491844029.772272, 296.897, 296.094, 1400.0, 2.043447, 0.000342, 15.0
1491844048.034292, 296.897, 296.094, 400.0, 2.0440047, 0.0003449, 6.0
1491844055.000513, 296.897, 296.094, 12000.0, 2.042587, 0.000437, 15.0
1491844066.246134, 296.897, 296.094, 1400.0, 2.0435399, 0.0003445, 15.0
1491844084.491591, 296.897, 296.094, 400.0, 2.0440926, 0.0003462, 6.0
1491844091.424532, 296.898, 296.094, 12000.0, 2.042693, 0.000447, 15.0
1491844102.670443, 296.898, 296.094, 1400.0, 2.043629, 0.000351, 15.0
1491844120.919898, 296.898, 296.094, 400.0, 2.0441828, 0.000346, 6.0
1491844127.884671, 296.898, 296.094, 12000.0, 2.042766, 0.0004443, 15.0
1491844139.098006, 296.897, 296.094, 1400.0, 2.043728, 0.00034, 15.0
1491844157.343416, 296.898, 296.094, 400.0, 2.0442753, 0.000347, 6.0
1491844164.276997, 296.898, 296.094, 12000.0, 2.04287, 0.000451, 15.0
1491844175.525194, 296.898, 296.093, 1400.0, 2.04382, 0.000344, 15.0
1491844193.70377, 296.898, 296.093, 400.0, 2.0443625, 0.0003466, 6.0
1491844200.622216, 296.898, 296.093, 12000.0, 2.042932, 0.00044, 15.0
1491844211.820703, 296.898, 296.093, 1400.0, 2.043894, 0.00034, 15.0
1491844230.03431, 296.898, 296.092, 400.0, 2.044446, 0.0003488, 6.0
1491844236.950382, 296.898, 296.093, 12000.0, 2.043027, 0.000452, 15.0
1491844248.150266, 296.898, 296.092, 1400.0, 2.043974, 0.000343, 15.0
1491844266.34718, 296.899, 296.093, 400.0, 2.0445201, 0.0003516, 6.0
1491844273.248252, 296.899, 296.094, 12000.0, 2.043102, 0.000444, 15.0
1491844284.43212, 296.898, 296.095, 1400.0, 2.044054, 0.0003493, 15.0
1491844302.665275, 296.899, 296.097, 400.0, 2.0445964, 0.0003538, 6.0
1491844309.613047, 296.899, 296.098, 12000.0, 2.04317, 0.000448, 15.0
1491844320.844086, 296.899, 296.099, 1400.0, 2.044123, 0.000346, 15.0
1491844339.026523, 296.899, 296.103, 400.0, 2.0446676, 0.0003518, 6.0
1491844345.943932, 296.899, 296.105, 12000.0, 2.043239, 0.0004478, 15.0
1491844357.174541, 296.9, 296.108, 1400.0, 2.044198, 0.000345, 15.0
1491844375.373321, 296.9, 296.114, 400.0, 2.044739, 0.000354, 6.0
1491844382.258337, 296.9, 296.117, 12000.0, 2.043325, 0.000442, 15.0
1491844393.425685, 296.9, 296.122, 1400.0, 2.044256, 0.000347, 15.0
1491844411.640521, 296.901, 296.131, 400.0, 2.0448059, 0.00035279, 6.0
1491844418.556992, 296.901, 296.135, 12000.0, 2.043383, 0.00045, 15.0
1491844429.803205, 296.902, 296.141, 1400.0, 2.044329, 0.000348, 15.0
1491844447.99924, 296.903, 296.133, 400.0, 2.0448643, 0.0003524, 6.0
1491844454.884739, 296.903, 296.098, 12000.0, 2.043425, 0.000447, 15.0
1491844466.116088, 296.902, 295.882, 1400.0, 2.044404, 0.000342, 15.0
1491844484.331627, 296.889, 294.149, 400.0, 2.0449328, 0.0003552, 6.0
1491844491.216792, 296.874, 292.581, 12000.0, 2.043502, 0.000439, 15.0
1491844502.432177, 296.822, 288.452, 1400.0, 2.044459, 0.000346, 15.0
1491844520.6005, 296.622, 278.198, 400.0, 2.0450188, 0.0003534, 6.0
1491844527.485922, 296.497, 273.487, 12000.0, 2.043615, 0.000457, 15.0
1491844538.651393, 296.228, 265.464, 1400.0, 2.0445826, 0.000342, 15.0
1491844556.832997, 295.609, 252.133, 400.0, 2.0451772, 0.0003487, 6.0
1491844563.781843, 295.314, 247.116, 12000.0, 2.043802, 0.000457, 15.0
1491844575.014376, 294.771, 239.086, 1400.0, 2.044814, 0.00035, 15.0
1491844593.260549, 293.73, 226.52, 400.0, 2.0454625, 0.000349, 6.0
1491844600.177047, 293.287, 221.921, 12000.0, 2.04408, 0.000481, 15.0
1491844611.408151, 292.522, 214.614, 1400.0, 2.045144, 0.000345, 15.0
1491844629.63908, 291.157, 203.21, 400.0, 2.04583, 0.0003428, 6.0
1491844636.572451, 290.598, 199.051, 12000.0, 2.044445, 0.000503, 15.0
1491844647.784006, 289.647, 192.469, 1400.0, 2.045564, 0.0003553, 15.0
1491844666.031339, 288.014, 182.275, 400.0, 2.0462876, 0.0003382, 6.0
1491844672.998305, 287.357, 178.511, 12000.0, 2.044889, 0.000551, 15.0
1491844684.211903, 286.266, 172.677, 1400.0, 2.046045, 0.000363, 15.0
1491844702.457342, 284.423, 163.589, 400.0, 2.0467931, 0.0003383, 6.0
1491844709.420347, 283.691, 160.294, 12000.0, 2.04531, 0.000597, 15.0
1491844720.652449, 282.483, 155.067, 1400.0, 2.046572, 0.000377, 15.0
1491844738.898873, 280.461, 147.044, 400.0, 2.047358, 0.0003423, 6.0
