# This data file was created on Mon Apr 10 16:13:56 2017
# Chip ID: 2-06... Sample: GBA131 in parabar... warming up with no bias... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1491848051.598052, 13.237, 7.2347999999999999, 1.9944511, 5.4599999999999999e-05, 6.0, 400, 1491848033.4018641, 13.054, 7.1558000000000002, 1.994394, 7.1000000000000005e-05, 15.0, 1400, 1491848022.20385, 13.076000000000001, 7.3426999999999998, 1.9942610000000001, 8.2000000000000001e-05, 15.0, 12000
1491848087.880321, 14.603, 7.2786999999999997, 1.9945094999999999, 5.7290000000000002e-05, 6.0, 400, 1491848069.650485, 13.843, 7.3151000000000002, 1.994424, 5.5999999999999999e-05, 15.0, 1400, 1491848058.4842501, 13.433, 7.2926000000000002, 1.9942679999999999, 8.8999999999999995e-05, 15.0, 12000
1491848124.212064, 16.794, 7.4108000000000001, 1.9946131, 6.1400000000000002e-05, 6.0, 400, 1491848105.9953239, 15.737, 7.3470000000000004, 1.9944980000000001, 7.1000000000000005e-05, 15.0, 1400, 1491848094.8138211, 14.919, 7.3071999999999999, 1.9943229, 7.9300000000000003e-05, 15.0, 12000
1491848160.522681, 18.998999999999999, 7.5831, 1.9947301, 7.0500000000000006e-05, 6.0, 400, 1491848142.2951691, 17.891999999999999, 7.4656000000000002, 1.9946079999999999, 7.1000000000000005e-05, 15.0, 1400, 1491848131.096658, 17.210999999999999, 7.4574999999999996, 1.994429, 9.1000000000000003e-05, 15.0, 12000
1491848196.8548651, 21.276, 7.6543999999999999, 1.9948907, 7.8999999999999996e-05, 6.0, 400, 1491848178.638046, 20.129999999999999, 7.7201000000000004, 1.9947296000000001, 7.36e-05, 15.0, 1400, 1491848167.4567709, 19.431999999999999, 7.6013000000000002, 1.9945459999999999, 9.1000000000000003e-05, 15.0, 12000
1491848233.2482171, 23.602, 7.9078999999999997, 1.9950718999999999, 9.4400000000000004e-05, 6.0, 400, 1491848215.017935, 22.428999999999998, 7.8781999999999996, 1.9948821000000001, 8.9800000000000001e-05, 15.0, 1400, 1491848203.8042791, 21.722000000000001, 7.7573999999999996, 1.9946489999999999, 0.000103, 15.0, 12000
1491848269.579721, 25.896999999999998, 8.1899999999999995, 1.9953042000000001, 0.0001165, 6.0, 400, 1491848251.3480351, 24.754000000000001, 7.9798, 1.995061, 0.000106, 15.0, 1400, 1491848240.150856, 24.010000000000002, 7.8174999999999999, 1.9948159999999999, 0.000101, 15.0, 12000
1491848305.9242361, 28.279, 8.3882999999999992, 1.9956058999999999, 0.00015349999999999999, 6.0, 400, 1491848287.7107229, 27.082000000000001, 8.2441999999999993, 1.995288, 0.00012530000000000001, 15.0, 1400, 1491848276.5286379, 26.375, 8.2353000000000005, 1.994988, 0.000122, 15.0, 12000
1491848342.2541349, 30.818999999999999, 8.6290999999999993, 1.9959979000000001, 0.00020799999999999999, 6.0, 400, 1491848324.0546229, 29.472999999999999, 8.5373999999999999, 1.995574, 0.00015779999999999999, 15.0, 1400, 1491848312.8566511, 28.734000000000002, 8.4329000000000001, 1.9952019999999999, 0.00013799999999999999, 15.0, 12000
1491848378.5351231, 33.542999999999999, 8.8544, 1.9966031, 0.00029250000000000001, 6.0, 400, 1491848360.322902, 32.274000000000001, 8.9001999999999999, 1.9959910000000001, 0.00021589999999999999, 15.0, 1400, 1491848349.141221, 31.436, 8.8475000000000001, 1.9954609999999999, 0.00018000000000000001, 15.0, 12000
1491848414.9297891, 36.031999999999996, 9.2188999999999997, 1.99729, 0.00039300000000000001, 6.0, 400, 1491848396.699945, 34.793999999999997, 9.0936000000000003, 1.9964850000000001, 0.00029300000000000002, 15.0, 1400, 1491848385.46944, 34.018000000000001, 8.9603999999999999, 1.9958050000000001, 0.000222, 15.0, 12000
1491848451.3407371, 38.518000000000001, 9.6106999999999996, 1.998162, 0.00052050000000000002, 6.0, 400, 1491848433.079092, 37.283999999999999, 9.4113000000000007, 1.997104, 0.0003815, 15.0, 1400, 1491848421.8628759, 36.518000000000001, 9.2421000000000006, 1.9961869999999999, 0.00027, 15.0, 12000
1491848487.7651491, 41.012, 9.8254000000000001, 1.99926, 0.00068979999999999996, 6.0, 400, 1491848469.5042861, 39.765999999999998, 9.6654, 1.9978889, 0.00050350000000000004, 15.0, 1400, 1491848458.288286, 38.988999999999997, 9.6350999999999996, 1.9966740000000001, 0.00036000000000000002, 15.0, 12000
1491848524.2381499, 43.484999999999999, 10.086, 2.0006249999999999, 0.00089300000000000002, 6.0, 400, 1491848505.960552, 42.247999999999998, 9.9244000000000003, 1.9988680000000001, 0.00065830000000000001, 15.0, 1400, 1491848494.7156379, 41.488, 9.8384999999999998, 1.997271, 0.00045600000000000003, 15.0, 12000
1491848560.6809959, 45.950000000000003, 10.247, 2.002316, 0.0011283, 6.0, 400, 1491848542.4188111, 44.713999999999999, 10.179, 2.0000589999999998, 0.00084659999999999998, 15.0, 1400, 1491848531.2034349, 43.954999999999998, 10.08, 1.997995, 0.00059000000000000003, 15.0, 12000
1491848597.0747139, 48.548999999999999, 10.57, 2.0044339999999998, 0.0013806999999999999, 6.0, 400, 1491848578.8608601, 47.173999999999999, 10.41, 2.0015239999999999, 0.0010751000000000001, 15.0, 1400, 1491848567.6148291, 46.411999999999999, 10.398, 1.9989220000000001, 0.00075129999999999999, 15.0, 12000
1491848633.46963, 51.119999999999997, 10.869, 2.0069370000000002, 0.001588, 6.0, 400, 1491848615.2381001, 49.847000000000001, 10.701000000000001, 2.003466, 0.00134, 15.0, 1400, 1491848604.0088129, 49.052, 10.675000000000001, 2.0000659999999999, 0.00094499999999999998, 15.0, 12000
1491848669.846004, 53.588000000000001, 11.129, 2.0094979999999998, 0.0016858999999999999, 6.0, 400, 1491848651.632427, 52.363, 11.005000000000001, 2.00563, 0.0015776, 15.0, 1400, 1491848640.435076, 51.603999999999999, 10.827, 2.001455, 0.001189, 15.0, 12000
1491848706.2571909, 56.030999999999999, 11.321, 2.0120040000000001, 0.0016609999999999999, 6.0, 400, 1491848688.0250421, 54.811999999999998, 11.202999999999999, 2.008, 0.0017405000000000001, 15.0, 1400, 1491848676.795567, 54.055, 11.138999999999999, 2.0030679999999998, 0.0014239999999999999, 15.0, 12000
1491848742.7636001, 58.457999999999998, 11.492000000000001, 2.0143019999999998, 0.0015250000000000001, 6.0, 400, 1491848724.4991879, 57.253, 11.366, 2.0104340000000001, 0.0018071000000000001, 15.0, 1400, 1491848713.2543881, 56.5, 11.359, 2.0049039999999998, 0.00166, 15.0, 12000
1491848779.1743081, 60.795000000000002, 11.695, 2.016254, 0.0013090000000000001, 6.0, 400, 1491848760.925106, 59.643000000000001, 11.65, 2.0127790000000001, 0.0017447999999999999, 15.0, 1400, 1491848749.6814051, 58.914000000000001, 11.609, 2.0069620000000001, 0.0018649999999999999, 15.0, 12000
1491848815.5658851, 62.267000000000003, 11.944000000000001, 2.01742, 0.0011241999999999999, 6.0, 400, 1491848797.3365431, 61.762, 11.776, 2.014812, 0.0016130000000000001, 15.0, 1400, 1491848786.10778, 61.203000000000003, 11.766, 2.0090780000000001, 0.001993, 15.0, 12000
1491848851.961077, 65.325999999999993, 12.103, 2.018745, 0.00084800000000000001, 6.0, 400, 1491848833.713794, 63.567999999999998, 11.988, 2.0160490000000002, 0.001469, 15.0, 1400, 1491848822.483439, 62.673999999999999, 11.885999999999999, 2.0104669999999998, 0.0020349999999999999, 15.0, 12000
1491848888.368721, 68.745999999999995, 12.355, 2.0200330000000002, 0.00053359999999999996, 6.0, 400, 1491848870.1092589, 67.099999999999994, 12.215, 2.0182509999999998, 0.0011169999999999999, 15.0, 1400, 1491848858.8785141, 66.007000000000005, 12.191000000000001, 2.0133084999999999, 0.0019816, 15.0, 12000
1491848924.81074, 71.424999999999997, 12.590999999999999, 2.0207804999999999, 0.00037990000000000002, 6.0, 400, 1491848906.5653601, 70.185000000000002, 12.526, 2.0197440000000002, 0.000785, 15.0, 1400, 1491848895.3519051, 69.322000000000003, 12.379, 2.0160490000000002, 0.0017574000000000001, 15.0, 12000
1491848961.1904221, 73.602999999999994, 12.712999999999999, 2.0212699999999999, 0.00031060000000000001, 6.0, 400, 1491848942.9608259, 72.540999999999997, 12.734, 2.020546, 0.00057689999999999998, 15.0, 1400, 1491848931.74419, 71.861999999999995, 12.726000000000001, 2.0178410000000002, 0.0015009999999999999, 15.0, 12000
1491848997.6172321, 75.733000000000004, 12.853, 2.0216970000000001, 0.0002766, 6.0, 400, 1491848979.370558, 74.658000000000001, 12.872999999999999, 2.0210940000000002, 0.00045520000000000001, 15.0, 1400, 1491848968.1395781, 74.006, 12.798999999999999, 2.0190399999999999, 0.001271, 15.0, 12000
1491849034.0428851, 78.022000000000006, 13.092000000000001, 2.0221279999999999, 0.00025829999999999999, 6.0, 400, 1491849015.8121231, 76.849999999999994, 13.172000000000001, 2.0215684999999999, 0.0003724, 15.0, 1400, 1491849004.5821781, 76.155000000000001, 12.962, 2.020041, 0.001057, 15.0, 12000
1491849070.4345069, 80.602999999999994, 13.288, 2.0225960000000001, 0.0002498, 6.0, 400, 1491849052.2049839, 79.262, 13.145, 2.0220419999999999, 0.0003165, 15.0, 1400, 1491849040.9745979, 78.491, 13.092000000000001, 2.0208740000000001, 0.00082799999999999996, 15.0, 12000
1491849106.910109, 83.304000000000002, 13.419, 2.0231180000000002, 0.00024489999999999999, 6.0, 400, 1491849088.6632941, 81.989000000000004, 13.363, 2.0225379999999999, 0.0002832, 15.0, 1400, 1491849077.4162879, 81.135999999999996, 13.343999999999999, 2.0216090000000002, 0.00064800000000000003, 15.0, 12000
1491849143.3361959, 85.671000000000006, 13.628, 2.0235683, 0.00023499999999999999, 6.0, 400, 1491849125.0737419, 84.519000000000005, 13.561, 2.023002, 0.0002698, 15.0, 1400, 1491849113.8276341, 83.775000000000006, 13.468999999999999, 2.0222310000000001, 0.000513, 15.0, 12000
1491849179.711709, 87.991, 13.808, 2.0239609999999999, 0.00022609999999999999, 6.0, 400, 1491849161.4819491, 86.811000000000007, 13.721, 2.023434, 0.000261, 15.0, 1400, 1491849150.2692599, 86.105999999999995, 13.608000000000001, 2.0226829999999998, 0.00042700000000000002, 15.0, 12000
1491849216.122973, 90.436000000000007, 13.967000000000001, 2.0243623999999998, 0.0002173, 6.0, 400, 1491849197.8769701, 89.195999999999998, 13.804, 2.0238358000000001, 0.00025310000000000003, 15.0, 1400, 1491849186.661099, 88.448999999999998, 13.869999999999999, 2.023107, 0.00036200000000000002, 15.0, 12000
1491849252.562789, 92.969999999999999, 14.058, 2.0247568999999999, 0.00021350000000000001, 6.0, 400, 1491849234.3023, 91.709000000000003, 14.045999999999999, 2.0242610000000001, 0.00024600000000000002, 15.0, 1400, 1491849223.071275, 90.918000000000006, 13.946, 2.0235129999999999, 0.000339, 15.0, 12000
1491849288.9739361, 95.379999999999995, 14.259, 2.0251324999999998, 0.0002118, 6.0, 400, 1491849270.742492, 94.191999999999993, 14.198, 2.0246659999999999, 0.00023499999999999999, 15.0, 1400, 1491849259.514462, 93.439999999999998, 14.055999999999999, 2.0239470000000002, 0.00031569999999999998, 15.0, 12000
1491849325.4177949, 97.733000000000004, 14.396000000000001, 2.0254835, 0.00021100000000000001, 6.0, 400, 1491849307.153605, 96.542000000000002, 14.239000000000001, 2.02502, 0.00022800000000000001, 15.0, 1400, 1491849295.9053741, 95.822999999999993, 14.162000000000001, 2.0243350000000002, 0.000299, 15.0, 12000
1491849361.842917, 100.187, 14.631, 2.0258281999999999, 0.00021100000000000001, 6.0, 400, 1491849343.612884, 98.947000000000003, 14.536, 2.0253739999999998, 0.00022599999999999999, 15.0, 1400, 1491849332.3836429, 98.192999999999998, 14.379, 2.0246960000000001, 0.00028299999999999999, 15.0, 12000
1491849398.250658, 102.658, 14.704000000000001, 2.026179, 0.00020909999999999999, 6.0, 400, 1491849380.0229361, 101.42, 14.638999999999999, 2.0257033, 0.00022230000000000001, 15.0, 1400, 1491849368.792362, 100.658, 14.539999999999999, 2.025067, 0.00028600000000000001, 15.0, 12000
1491849434.675957, 105.084, 14.782, 2.026513, 0.0002042, 6.0, 400, 1491849416.4464829, 103.876, 14.692, 2.0260750000000001, 0.00021900000000000001, 15.0, 1400, 1491849405.1999691, 103.126, 14.781000000000001, 2.025398, 0.00026899999999999998, 15.0, 12000
1491849471.1512699, 107.45099999999999, 15.013, 2.0268375000000001, 0.00020340000000000001, 6.0, 400, 1491849452.8870349, 106.26000000000001, 14.888999999999999, 2.0263659999999999, 0.00022699999999999999, 15.0, 1400, 1491849441.6253631, 105.53400000000001, 14.855, 2.02576, 0.000252, 15.0, 12000
1491849507.605962, 109.89700000000001, 15.173, 2.0271539999999999, 0.0002019, 6.0, 400, 1491849489.362509, 108.65900000000001, 15.102, 2.026707, 0.000223, 15.0, 1400, 1491849478.1325359, 107.91, 15.013, 2.026049, 0.000252, 15.0, 12000
