# This data file was created on Fri Apr 14 12:20:58 2017
# Chip ID: 2-06... Sample: GBA131 in parabar... cool down
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1492194082.510429, 299.456, 252.488, 12000.0, 1.975, 1.7756, 3.0
1492194093.723607, 299.585, 253.124, 1400.0, 1.97, 11.3, 0.75
1492194111.926323, 304.646, 254.116, 400.0, 1.98, 33.7, 0.1
1492194119.013193, 308.586, 254.49, 12000.0, 1.97544, 1.94468, 3.0
1492194130.210036, 314.741, 255.077, 1400.0, 2.0, 12.6, 0.75
1492194148.412683, 322.219, 256.031, 400.0, 1.99, 41.7, 0.1
1492194155.497958, 323.025, 256.407, 12000.0, 1.96, 2.16, 3.0
1492194166.695566, 323.42, 257.006, 1400.0, 1.9, 14.9, 0.75
1492194184.882365, 323.079, 257.98, 400.0, 1.983, 45.8, 0.1
1492194191.969648, 322.813, 258.356, 12000.0, 1.97, 2.243, 3.0
1492194203.150318, 322.344, 258.944, 1400.0, 1.971, 14.15, 0.75
1492194221.370606, 321.591, 259.874, 400.0, 1.99, 44.2, 0.1
1492194228.536633, 321.324, 260.234, 12000.0, 1.971, 2.222, 3.0
1492194239.718925, 320.954, 260.788, 1400.0, 1.97, 14.0, 0.75
1492194257.905739, 320.504, 261.658, 400.0, 2.0, 43.0, 0.1
1492194265.04054, 320.377, 261.991, 12000.0, 1.971, 2.192, 3.0
1492194276.237351, 320.224, 262.504, 1400.0, 1.97, 14.2, 0.75
1492194294.408083, 319.877, 263.454, 400.0, 2.0, 44.0, 0.1
1492194301.51034, 319.625, 263.961, 12000.0, 1.969, 2.159, 3.0
1492194312.721336, 319.511, 264.682, 1400.0, 1.97, 13.4, 0.75
1492194330.916854, 319.571, 265.816, 400.0, 1.98, 39.5, 0.1
1492194338.051947, 319.624, 266.253, 12000.0, 1.971, 2.045, 3.0
1492194349.248562, 319.714, 266.93, 1400.0, 1.97, 12.3, 0.75
1492194367.451148, 319.847, 268.004, 400.0, 2.0, 37.5, 0.1
1492194374.523109, 319.889, 268.414, 12000.0, 1.971, 2.052, 3.0
1492194385.73745, 319.943, 269.054, 1400.0, 1.99, 12.7, 0.75
1492194403.97434, 320.004, 270.072, 400.0, 1.98, 35.0, 0.1
1492194411.142286, 320.021, 270.465, 12000.0, 1.9701, 2.0506, 3.0
1492194422.325063, 320.038, 271.066, 1400.0, 1.966, 12.68, 0.75
1492194440.510592, 320.057, 272.022, 400.0, 1.97, 37.0, 0.1
1492194447.646044, 320.062, 272.389, 12000.0, 1.972, 2.032, 3.0
1492194458.844562, 320.066, 272.956, 1400.0, 2.0, 12.0, 0.75
1492194477.047956, 320.071, 273.855, 400.0, 2.0, 36.1, 0.1
1492194484.151748, 320.072, 274.201, 12000.0, 1.9732, 2.0382, 3.0
1492194495.334215, 320.072, 274.733, 1400.0, 2.0, 12.0, 0.75
1492194513.520993, 320.064, 275.653, 400.0, 1.98, 35.3, 0.1
1492194520.607597, 320.05, 275.974, 12000.0, 1.972, 2.0063, 3.0
