# This data file was created on Fri Apr 14 12:51:58 2017
# Chip ID: 2-17... Sample: GBA133... helium cooldown
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1492195942.145539, 300.102, 294.626, 12000.0, 1.828256, 0.000145, 15.0
1492195953.359158, 300.09, 294.65, 1400.0, 1.8284101, -5.48e-05, 15.0
1492195971.544782, 300.068, 294.68, 400.0, 1.8281786, -6.896e-05, 6.0
1492195978.439925, 300.06, 294.688, 12000.0, 1.827112, 0.000131, 15.0
1492195989.637677, 300.047, 294.694, 1400.0, 1.82745, 0.000184, 15.0
1492196007.875143, 300.028, 294.664, 400.0, 1.8277041, 0.0002256, 6.0
1492196014.769466, 300.022, 294.628, 12000.0, 1.826889, 0.000177, 15.0
1492196025.967385, 300.012, 294.515, 1400.0, 1.827328, 0.000216, 15.0
1492196044.154469, 299.996, 294.106, 400.0, 1.827612, 0.0002537, 6.0
1492196051.065465, 299.989, 293.845, 12000.0, 1.82685, 0.000142, 15.0
1492196062.246966, 299.975, 293.158, 1400.0, 1.827248, 0.000208, 15.0
1492196080.434465, 299.942, 290.575, 400.0, 1.8275937, 0.0002484, 6.0
1492196087.329065, 299.919, 288.947, 12000.0, 1.827009, 0.000134, 15.0
1492196098.55949, 299.868, 285.576, 1400.0, 1.827372, 0.000188, 15.0
1492196116.778103, 299.747, 278.9, 400.0, 1.82763746, 0.00022729, 6.0
1492196123.657779, 299.694, 276.115, 12000.0, 1.827122, 0.0001428, 15.0
1492196134.870632, 299.599, 271.42, 1400.0, 1.827449, 0.0001706, 15.0
1492196153.057977, 298.976, 263.697, 400.0, 1.8277, 0.000262, 6.0
1492196159.952819, 298.697, 260.809, 12000.0, 1.827131, 0.000173, 15.0
1492196171.14979, 298.199, 256.142, 1400.0, 1.827486, 0.000162, 15.0
1492196189.338612, 297.287, 248.811, 400.0, 1.8276653, 0.0001793, 6.0
1492196196.249335, 296.904, 246.103, 12000.0, 1.827083, 0.000173, 15.0
1492196207.478496, 296.252, 241.804, 1400.0, 1.827403, 0.000152, 15.0
1492196225.668356, 295.089, 235.055, 400.0, 0.96, 0.13, 6.0
1492196232.561711, 294.623, 232.585, 12000.0, 1.826895, 0.000181, 15.0
1492196243.738643, 293.833, 228.665, 1400.0, 1.827254, 0.000151, 15.0
1492196261.954134, 292.478, 222.485, 400.0, 1.8273818, 0.00015119, 6.0
1492196268.800124, 291.948, 220.241, 12000.0, 1.82676, 0.000175, 15.0
1492196279.966764, 291.055, 216.648, 1400.0, 1.827117, 0.000145, 15.0
1492196298.186615, 289.551, 211.029, 400.0, 1.8271975, 0.000139, 6.0
1492196305.096369, 288.966, 208.946, 12000.0, 1.826597, 0.000169, 15.0
1492196316.26449, 287.997, 205.678, 1400.0, 1.826911, 0.000146, 15.0
1492196334.463703, 286.382, 200.554, 400.0, 1.8269624, 0.00013, 6.0
1492196341.397495, 285.756, 198.665, 12000.0, 1.826327, 0.00017, 15.0
1492196352.57997, 284.732, 195.663, 1400.0, 1.826711, 0.000144, 15.0
1492196370.825058, 283.017, 190.926, 400.0, 0.258, 0.04, 6.0
1492196377.726427, 282.355, 189.201, 12000.0, 0.1244, 0.0, 15.0
1492196388.892663, 281.278, 186.474, 1400.0, 0.1234, 0.0, 15.0
1492196407.121735, 279.491, 182.15, 400.0, 0.122913, -0.00012, 6.0
1492196414.054971, 278.804, 180.548, 12000.0, 0.12247, 0.0003, 15.0
1492196425.252907, 277.686, 178.021, 1400.0, 0.12216, 0.0001, 15.0
