# This data file was created on Fri Apr 21 11:23:23 2017
# Chip ID: 2-32... Sample: GBA131 dry powder... helium cooldown
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1492795427.890613, 299.718, 64.731, 12000.0, 1.8545011, 0.0002256, 15.0
1492795439.088689, 297.951, 63.774, 1400.0, 1.8549498, 0.0002173, 15.0
1492795457.284582, 293.951, 62.288, 400.0, 1.8550882, 0.0002196, 6.0
1492795464.168479, 292.33, 61.738, 12000.0, 1.854173, 0.000215, 15.0
1492795475.367094, 289.706, 60.849, 1400.0, 1.854603, 0.000208, 15.0
1492795493.563834, 285.472, 59.454, 400.0, 1.8547608, 0.0002013, 6.0
1492795500.449603, 283.883, 58.931, 12000.0, 1.853947, 0.000208, 15.0
1492795511.614601, 281.327, 58.108, 1400.0, 1.854389, 0.000193, 15.0
1492795529.797774, 277.218, 56.796, 400.0, 1.8545558, 0.000187, 6.0
1492795536.683163, 275.684, 56.313, 12000.0, 1.853811, 0.000203, 15.0
1492795547.881156, 273.215, 55.53, 1400.0, 1.854212, 0.000189, 15.0
1492795566.047181, 269.268, 54.297, 400.0, 1.8543933, 0.0001768, 6.0
1492795572.963547, 267.79, 53.843, 12000.0, 1.85368, 0.0001925, 15.0
1492795584.161425, 265.406, 53.123, 1400.0, 1.8540775, 0.0001714, 15.0
1492795602.326243, 261.566, 51.992, 400.0, 1.8542553, 0.0001688, 6.0
1492795609.243546, 260.129, 51.584, 12000.0, 1.853543, 0.000186, 15.0
1492795620.473451, 257.814, 50.929, 1400.0, 1.853959, 0.0001699, 15.0
1492795638.656555, 254.11, 49.896, 400.0, 1.85414245, 0.0001615, 6.0
1492795645.57393, 252.715, 49.522, 12000.0, 1.853495, 0.000176, 15.0
1492795656.771962, 250.479, 48.909, 1400.0, 1.853865, 0.000159, 15.0
1492795674.971005, 247.477, 47.929, 400.0, 1.8540463, 0.0001545, 6.0
1492795681.888258, 246.809, 47.57, 12000.0, 1.85343, 0.000177, 15.0
1492795693.053608, 246.259, 47.009, 1400.0, 1.853786, 0.000158, 15.0
