# This data file was created on Fri Apr 21 13:11:19 2017
# Chip ID: 2-32... Sample: GBA131 dry powder... cooldown with -100V
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to low
1492801923.904935, 149.999, 18.152, 12000.0, 1.849975, 0.000178, 15.0
1492801935.101791, 150.0, 18.185, 1400.0, 1.85035, 0.000124, 15.0
1492801953.285058, 150.0, 18.119, 400.0, 1.850554, 0.0001145, 6.0
1492801960.169959, 149.999, 18.176, 12000.0, 1.850077, 0.000175, 15.0
1492801971.335321, 149.999, 18.128, 1400.0, 1.8504051, 0.0001278, 15.0
1492801989.51558, 149.999, 18.209, 400.0, 1.8505574, 0.0001146, 6.0
1492801996.402219, 150.0, 18.145, 12000.0, 1.850075, 0.000178, 15.0
1492802007.566824, 150.0, 18.16, 1400.0, 1.850444, 0.000129, 15.0
1492802025.747967, 150.001, 18.151, 400.0, 1.850582, 0.0001123, 6.0
1492802032.632119, 150.001, 18.177, 12000.0, 1.850101, 0.000172, 15.0
1492802043.79811, 150.001, 18.132, 1400.0, 1.850438, 0.000131, 15.0
1492802061.978664, 150.001, 18.133, 400.0, 1.8505803, 0.0001131, 6.0
1492802068.912207, 150.0, 18.156, 12000.0, 1.8501, 0.0001771, 15.0
1492802080.077912, 150.0, 18.133, 1400.0, 1.85044, 0.000115, 15.0
1492802098.257896, 149.999, 18.166, 400.0, 1.850581, 0.000116, 6.0
1492802105.143363, 149.999, 18.147, 12000.0, 1.850099, 0.000168, 15.0
1492802116.310147, 149.998, 18.137, 1400.0, 1.850427, 0.000122, 15.0
1492802134.491548, 149.998, 18.155, 400.0, 1.8505803, 0.000117, 6.0
1492802141.424079, 149.998, 18.145, 12000.0, 1.850101, 0.000171, 15.0
1492802152.590465, 149.999, 18.17, 1400.0, 1.850424, 0.000122, 15.0
1492802170.771932, 150.0, 18.111, 400.0, 1.850582, 0.0001151, 6.0
1492802177.656613, 150.0, 18.154, 12000.0, 1.8500926, 0.0001685, 15.0
1492802188.821718, 150.0, 18.168, 1400.0, 1.850438, 0.0001264, 15.0
1492802207.001852, 150.0, 18.159, 400.0, 1.850586, 0.0001118, 6.0
1492802213.890131, 150.0, 18.162, 12000.0, 1.850101, 0.0001702, 15.0
1492802225.055516, 149.999, 18.111, 1400.0, 1.850433, 0.000115, 15.0
1492802243.236364, 149.996, 18.112, 400.0, 1.850581, 0.0001126, 6.0
1492802250.122189, 149.996, 18.135, 12000.0, 1.850111, 0.000171, 15.0
1492802261.320192, 149.995, 18.151, 1400.0, 1.850441, 0.000131, 15.0
1492802279.51784, 149.995, 18.092, 400.0, 1.8505841, 0.0001199, 6.0
1492802286.449555, 149.995, 18.159, 12000.0, 1.850098, 0.000185, 15.0
1492802297.616693, 149.995, 18.142, 1400.0, 1.850447, 0.000129, 15.0
1492802315.797148, 149.996, 18.175, 400.0, 1.850588, 0.0001112, 6.0
1492802322.683365, 149.996, 18.145, 12000.0, 1.8501077, 0.0001792, 15.0
1492802333.849207, 149.993, 18.135, 1400.0, 1.850422, 0.000125, 15.0
1492802352.031105, 149.986, 18.097, 400.0, 1.8505818, 0.0001151, 6.0
1492802358.916227, 149.984, 18.092, 12000.0, 1.850095, 0.000166, 15.0
1492802370.112694, 149.982, 18.121, 1400.0, 1.85044, 0.000123, 15.0
1492802388.310003, 149.98, 18.155, 400.0, 1.8505889, 0.0001152, 6.0
1492802395.196129, 149.981, 18.099, 12000.0, 1.850102, 0.00018, 15.0
1492802406.36035, 149.982, 18.121, 1400.0, 1.850425, 0.000116, 15.0
