# This data file was created on Fri Apr 21 14:58:14 2017
# Chip ID: 2-32... Sample: GBA131 dry powder... cooldown with -100V... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1492801953.285058, 150.0, 18.119, 1.850554, 0.0001145, 6.0, 400, 1492801935.1017909, 150.0, 18.184999999999999, 1.8503499999999999, 0.00012400000000000001, 15.0, 1400, 1492801923.9049349, 149.999, 18.152000000000001, 1.8499749999999999, 0.00017799999999999999, 15.0, 12000
1492801989.5155799, 149.999, 18.209, 1.8505574, 0.00011459999999999999, 6.0, 400, 1492801971.3353209, 149.999, 18.128, 1.8504050999999999, 0.00012779999999999999, 15.0, 1400, 1492801960.1699591, 149.999, 18.175999999999998, 1.850077, 0.000175, 15.0, 12000
1492802025.747967, 150.001, 18.151, 1.8505819999999999, 0.00011230000000000001, 6.0, 400, 1492802007.566824, 150.0, 18.16, 1.850444, 0.00012899999999999999, 15.0, 1400, 1492801996.4022191, 150.0, 18.145, 1.8500749999999999, 0.00017799999999999999, 15.0, 12000
1492802061.9786639, 150.001, 18.132999999999999, 1.8505803000000001, 0.0001131, 6.0, 400, 1492802043.79811, 150.001, 18.132000000000001, 1.850438, 0.00013100000000000001, 15.0, 1400, 1492802032.6321189, 150.001, 18.177, 1.850101, 0.00017200000000000001, 15.0, 12000
1492802098.2578959, 149.999, 18.166, 1.850581, 0.000116, 6.0, 400, 1492802080.0779121, 150.0, 18.132999999999999, 1.8504400000000001, 0.000115, 15.0, 1400, 1492802068.9122069, 150.0, 18.155999999999999, 1.8501000000000001, 0.0001771, 15.0, 12000
1492802134.4915481, 149.99799999999999, 18.155000000000001, 1.8505803000000001, 0.000117, 6.0, 400, 1492802116.310147, 149.99799999999999, 18.137, 1.850427, 0.000122, 15.0, 1400, 1492802105.143363, 149.999, 18.146999999999998, 1.8500989999999999, 0.00016799999999999999, 15.0, 12000
1492802170.7719319, 150.0, 18.111000000000001, 1.8505819999999999, 0.00011510000000000001, 6.0, 400, 1492802152.5904651, 149.999, 18.170000000000002, 1.8504240000000001, 0.000122, 15.0, 1400, 1492802141.4240789, 149.99799999999999, 18.145, 1.850101, 0.00017100000000000001, 15.0, 12000
1492802207.001852, 150.0, 18.158999999999999, 1.8505860000000001, 0.00011179999999999999, 6.0, 400, 1492802188.821718, 150.0, 18.167999999999999, 1.850438, 0.00012640000000000001, 15.0, 1400, 1492802177.6566131, 150.0, 18.154, 1.8500926, 0.0001685, 15.0, 12000
1492802243.2363639, 149.99600000000001, 18.111999999999998, 1.850581, 0.0001126, 6.0, 400, 1492802225.055516, 149.999, 18.111000000000001, 1.850433, 0.000115, 15.0, 1400, 1492802213.890131, 150.0, 18.161999999999999, 1.850101, 0.00017019999999999999, 15.0, 12000
1492802279.5178399, 149.995, 18.091999999999999, 1.8505841000000001, 0.0001199, 6.0, 400, 1492802261.3201921, 149.995, 18.151, 1.850441, 0.00013100000000000001, 15.0, 1400, 1492802250.122189, 149.99600000000001, 18.135000000000002, 1.8501110000000001, 0.00017100000000000001, 15.0, 12000
