# This data file was created on Fri Apr 21 14:58:51 2017
# Chip ID: 2-32... Sample: GBA131 dry powder... warm up after applying -100V during cool 
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1492808355.341191, 25.045, 23.12, 12000.0, 1.818479, 0.000192, 15.0
1492808366.539046, 25.065, 23.138, 1400.0, 1.818894, 0.000201, 15.0
1492808384.705833, 25.085, 23.124, 400.0, 1.8191615, 0.000217, 6.0
1492808391.57434, 25.088, 23.139, 12000.0, 1.818464, 0.000188, 15.0
1492808402.757588, 25.095, 23.15, 1400.0, 1.818898, 0.0001979, 15.0
1492808420.9217, 25.116, 23.174, 400.0, 1.8191656, 0.0002176, 6.0
1492808427.808143, 25.127, 23.188, 12000.0, 1.818465, 0.000192, 15.0
1492808438.973622, 25.143, 23.182, 1400.0, 1.818915, 0.0001973, 15.0
1492808457.138385, 25.16, 23.207, 400.0, 1.8191733, 0.0002179, 6.0
1492808464.02418, 25.169, 23.215, 12000.0, 1.818478, 0.0001963, 15.0
1492808475.191271, 25.186, 23.231, 1400.0, 1.81891, 0.000201, 15.0
1492808493.372024, 25.202, 23.237, 400.0, 1.8191789, 0.0002177, 6.0
1492808500.258176, 25.209, 23.242, 12000.0, 1.81849, 0.000197, 15.0
1492808511.424178, 25.221, 23.25, 1400.0, 1.818917, 0.0002006, 15.0
1492808529.606432, 25.236, 23.244, 400.0, 1.819184, 0.0002193, 6.0
1492808536.491205, 25.238, 23.263, 12000.0, 1.818458, 0.000193, 15.0
1492808547.689838, 25.25, 23.277, 1400.0, 1.818923, 0.0002006, 15.0
1492808565.855101, 25.564, 23.288, 400.0, 1.8191992, 0.0002208, 6.0
1492808572.742254, 25.866, 23.316, 12000.0, 1.81854, 0.000188, 15.0
1492808583.923953, 26.597, 23.443, 1400.0, 1.819044, 0.000217, 15.0
1492808602.088973, 27.911, 23.669, 400.0, 1.8195514, 0.0002729, 6.0
1492808608.974162, 28.449, 23.781, 12000.0, 1.81879, 0.000245, 15.0
1492808620.156074, 29.317, 23.935, 1400.0, 1.8194682, 0.0002832, 15.0
1492808638.320994, 31.046, 24.246, 400.0, 1.820184, 0.0003748, 6.0
1492808645.236812, 31.752, 24.396, 12000.0, 1.819247, 0.000308, 15.0
1492808656.434646, 32.78, 24.622, 1400.0, 1.820163, 0.0004043, 15.0
1492808674.600015, 34.356, 24.989, 400.0, 1.8212378, 0.000548, 6.0
1492808681.46896, 34.943, 25.099, 12000.0, 1.819761, 0.000406, 15.0
1492808692.666181, 35.892, 25.322, 1400.0, 1.821053, 0.00056317, 15.0
1492808710.864065, 37.466, 25.644, 400.0, 1.822536, 0.0007586, 6.0
1492808717.749352, 38.053, 25.767, 12000.0, 1.820452, 0.000558, 15.0
1492808728.947087, 39.005, 25.983, 1400.0, 1.822255, 0.000766, 15.0
1492808747.112002, 40.587, 26.33, 400.0, 1.824261, 0.0010356, 6.0
