# This data file was created on Mon Apr 24 15:05:38 2017
# Chip ID: 2-32... Sample: GBA131 dry powder... warm up after applying -100V during cool ... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1492808384.705833, 25.085000000000001, 23.123999999999999, 1.8191615000000001, 0.00021699999999999999, 6.0, 400, 1492808366.539046, 25.065000000000001, 23.138000000000002, 1.818894, 0.00020100000000000001, 15.0, 1400, 1492808355.3411911, 25.045000000000002, 23.120000000000001, 1.818479, 0.000192, 15.0, 12000
1492808420.9217, 25.116, 23.173999999999999, 1.8191656, 0.0002176, 6.0, 400, 1492808402.7575879, 25.094999999999999, 23.149999999999999, 1.8188979999999999, 0.00019790000000000001, 15.0, 1400, 1492808391.5743401, 25.088000000000001, 23.138999999999999, 1.8184640000000001, 0.00018799999999999999, 15.0, 12000
1492808457.1383851, 25.16, 23.207000000000001, 1.8191733000000001, 0.00021790000000000001, 6.0, 400, 1492808438.9736221, 25.143000000000001, 23.181999999999999, 1.8189150000000001, 0.0001973, 15.0, 1400, 1492808427.8081429, 25.126999999999999, 23.187999999999999, 1.818465, 0.000192, 15.0, 12000
1492808493.3720241, 25.202000000000002, 23.236999999999998, 1.8191789, 0.00021770000000000001, 6.0, 400, 1492808475.1912711, 25.186, 23.231000000000002, 1.81891, 0.00020100000000000001, 15.0, 1400, 1492808464.0241799, 25.169, 23.215, 1.818478, 0.0001963, 15.0, 12000
1492808529.606432, 25.236000000000001, 23.244, 1.8191839999999999, 0.00021929999999999999, 6.0, 400, 1492808511.4241779, 25.221, 23.25, 1.8189169999999999, 0.0002006, 15.0, 1400, 1492808500.2581761, 25.209, 23.242000000000001, 1.8184899999999999, 0.00019699999999999999, 15.0, 12000
1492808565.8551011, 25.564, 23.288, 1.8191991999999999, 0.0002208, 6.0, 400, 1492808547.6898379, 25.25, 23.277000000000001, 1.8189230000000001, 0.0002006, 15.0, 1400, 1492808536.491205, 25.238, 23.263000000000002, 1.8184579999999999, 0.000193, 15.0, 12000
1492808602.088973, 27.911000000000001, 23.669, 1.8195513999999999, 0.00027290000000000002, 6.0, 400, 1492808583.9239531, 26.597000000000001, 23.443000000000001, 1.8190440000000001, 0.00021699999999999999, 15.0, 1400, 1492808572.742254, 25.866, 23.315999999999999, 1.81854, 0.00018799999999999999, 15.0, 12000
1492808638.3209939, 31.045999999999999, 24.245999999999999, 1.820184, 0.0003748, 6.0, 400, 1492808620.156074, 29.317, 23.934999999999999, 1.8194682, 0.0002832, 15.0, 1400, 1492808608.9741621, 28.449000000000002, 23.780999999999999, 1.8187899999999999, 0.00024499999999999999, 15.0, 12000
1492808674.6000149, 34.356000000000002, 24.989000000000001, 1.8212378, 0.00054799999999999998, 6.0, 400, 1492808656.4346459, 32.780000000000001, 24.622, 1.820163, 0.00040430000000000002, 15.0, 1400, 1492808645.2368121, 31.751999999999999, 24.396000000000001, 1.8192470000000001, 0.00030800000000000001, 15.0, 12000
1492808710.8640649, 37.466000000000001, 25.643999999999998, 1.8225359999999999, 0.00075860000000000001, 6.0, 400, 1492808692.6661811, 35.892000000000003, 25.321999999999999, 1.821053, 0.00056316999999999999, 15.0, 1400, 1492808681.46896, 34.942999999999998, 25.099, 1.819761, 0.000406, 15.0, 12000
1492808747.1120019, 40.587000000000003, 26.329999999999998, 1.8242609999999999, 0.0010356, 6.0, 400, 1492808728.947087, 39.005000000000003, 25.983000000000001, 1.822255, 0.00076599999999999997, 15.0, 1400, 1492808717.749352, 38.052999999999997, 25.766999999999999, 1.820452, 0.00055800000000000001, 15.0, 12000
1492808783.3617389, 43.670999999999999, 26.934999999999999, 1.826506, 0.0013730000000000001, 6.0, 400, 1492808765.1793849, 42.125999999999998, 26.632000000000001, 1.8238235, 0.0010328900000000001, 15.0, 1400, 1492808753.997385, 41.174999999999997, 26.448, 1.8214189999999999, 0.000727, 15.0, 12000
1492808819.6731651, 46.753999999999998, 27.559999999999999, 1.829324, 0.0017340000000000001, 6.0, 400, 1492808801.5077939, 45.213999999999999, 27.245000000000001, 1.8258369999999999, 0.001366, 15.0, 1400, 1492808790.3095479, 44.259999999999998, 27.050000000000001, 1.8226500000000001, 0.00096900000000000003, 15.0, 12000
1492808855.95368, 50.07, 28.145, 1.832883, 0.0020409999999999998, 6.0, 400, 1492808837.7880759, 48.405999999999999, 27.837, 1.8284682999999999, 0.0017378000000000001, 15.0, 1400, 1492808826.590456, 47.366, 27.663, 1.824254, 0.0012769999999999999, 15.0, 12000
1492808892.2063291, 53.220999999999997, 28.725000000000001, 1.836595, 0.0021320000000000002, 6.0, 400, 1492808874.0223131, 51.671999999999997, 28.440000000000001, 1.8317399999999999, 0.002085, 15.0, 1400, 1492808862.8564789, 50.686999999999998, 28.260999999999999, 1.8264050000000001, 0.0016429999999999999, 15.0, 12000
1492808928.438097, 56.225000000000001, 29.248000000000001, 1.83995, 0.0019819999999999998, 6.0, 400, 1492808910.257479, 54.744, 29.004999999999999, 1.835162, 0.0022569999999999999, 15.0, 1400, 1492808899.091764, 53.801000000000002, 28.835999999999999, 1.828878, 0.002019, 15.0, 12000
1492808964.6713991, 59.341000000000001, 29.75, 1.842781, 0.0016440000000000001, 6.0, 400, 1492808946.488996, 57.753999999999998, 29.498000000000001, 1.8384393999999999, 0.0022247, 15.0, 1400, 1492808935.3243229, 56.786999999999999, 29.34, 1.831647, 0.002343, 15.0, 12000
1492809000.9043019, 62.451999999999998, 30.283000000000001, 1.844932, 0.0012091999999999999, 6.0, 400, 1492808982.7229099, 60.899000000000001, 30.010000000000002, 1.8415615999999999, 0.0019643999999999998, 15.0, 1400, 1492808971.5573151, 59.938000000000002, 29.843, 1.834824, 0.0025339999999999998, 15.0, 12000
1492809037.154438, 65.540000000000006, 30.734999999999999, 1.846314, 0.00081249999999999996, 6.0, 400, 1492809018.9884601, 63.988999999999997, 30.52, 1.843996, 0.001578, 15.0, 1400, 1492809007.789814, 63.036000000000001, 30.373999999999999, 1.8380014, 0.0025325, 15.0, 12000
1492809073.3882289, 68.652000000000001, 31.210000000000001, 1.8471964000000001, 0.00053339999999999995, 6.0, 400, 1492809055.2220759, 67.075999999999993, 30.986000000000001, 1.8457380000000001, 0.001147, 15.0, 1400, 1492809044.023217, 66.120000000000005, 30.835999999999999, 1.840905, 0.002349, 15.0, 12000
1492809109.5943761, 71.799999999999997, 31.640000000000001, 1.8478220999999999, 0.00038010000000000002, 6.0, 400, 1492809091.42401, 70.230999999999995, 31.449999999999999, 1.846908, 0.00078180000000000003, 15.0, 1400, 1492809080.2731371, 69.254999999999995, 31.297000000000001, 1.8434079000000001, 0.0019980000000000002, 15.0, 12000
1492809145.8449521, 74.903999999999996, 32.097999999999999, 1.8483311, 0.0003102, 6.0, 400, 1492809127.6642489, 73.350999999999999, 31.867000000000001, 1.8476714999999999, 0.00053280000000000005, 15.0, 1400, 1492809116.4858141, 72.393000000000001, 31.728999999999999, 1.845359, 0.0015889999999999999, 15.0, 12000
1492809182.1524961, 77.918000000000006, 32.502000000000002, 1.8487818, 0.0002834, 6.0, 400, 1492809163.939189, 76.411000000000001, 32.310000000000002, 1.8482069999999999, 0.00039500000000000001, 15.0, 1400, 1492809152.7508271, 75.480000000000004, 32.183, 1.8466929999999999, 0.0011839999999999999, 15.0, 12000
1492809218.3901119, 80.944999999999993, 32.883000000000003, 1.8492104, 0.00027129999999999998, 6.0, 400, 1492809200.2150991, 79.415000000000006, 32.706000000000003, 1.8486670000000001, 0.00033579999999999998, 15.0, 1400, 1492809189.0431831, 78.486000000000004, 32.584000000000003, 1.847583, 0.00085800000000000004, 15.0, 12000
1492809254.658381, 84.132000000000005, 33.243000000000002, 1.8496387999999999, 0.00025769999999999998, 6.0, 400, 1492809236.4704199, 82.533000000000001, 33.087000000000003, 1.849073, 0.00029500000000000001, 15.0, 1400, 1492809225.2938869, 81.549999999999997, 32.960000000000001, 1.848241, 0.00063199999999999997, 15.0, 12000
1492809290.9047401, 87.153999999999996, 33.651000000000003, 1.8500023999999999, 0.00023680000000000001, 6.0, 400, 1492809272.7072909, 85.662999999999997, 33.439999999999998, 1.8494740000000001, 0.00028499999999999999, 15.0, 1400, 1492809261.5469151, 84.725999999999999, 33.305999999999997, 1.8487279999999999, 0.00049600000000000002, 15.0, 12000
1492809327.2254579, 90.100999999999999, 34.036000000000001, 1.8503053, 0.0002207, 6.0, 400, 1492809309.0352261, 88.620999999999995, 33.832999999999998, 1.849839, 0.00026699999999999998, 15.0, 1400, 1492809297.8298531, 87.715000000000003, 33.719999999999999, 1.8491, 0.000406, 15.0, 12000
