# This data file was created on Fri Apr 14 13:01:50 2017
# Chip ID: 2-17... Sample: GBA133... helium cool
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1492196533.559112, 273.653, 156.806, 12000.0, 1.814898, 0.000159, 15.0
1492196544.790571, 273.124, 154.901, 1400.0, 1.815173, 0.000125, 15.0
1492196562.973383, 271.015, 151.943, 400.0, 1.8152408, 0.0001107, 6.0
1492196569.890457, 270.209, 150.861, 12000.0, 1.814685, 0.000136, 15.0
1492196581.089866, 268.899, 149.138, 1400.0, 1.81496, 0.000134, 15.0
1492196599.288047, 266.776, 146.413, 400.0, 1.81503206, 0.00010851, 6.0
1492196606.22151, 265.968, 145.397, 12000.0, 1.814509, 0.000141, 15.0
1492196617.435631, 264.662, 143.79, 1400.0, 1.814794, 0.0001198, 15.0
1492196635.615964, 262.539, 141.271, 400.0, 1.8148843, 0.0001068, 6.0
1492196642.549327, 261.732, 140.339, 12000.0, 1.814388, 0.000134, 15.0
1492196653.732017, 260.436, 138.872, 1400.0, 1.8146627, 0.0001233, 15.0
1492196671.977527, 258.323, 136.533, 400.0, 1.8147534, 0.0001049, 6.0
1492196678.927102, 257.516, 135.661, 12000.0, 1.814284, 0.000129, 15.0
1492196690.109519, 256.224, 134.28, 1400.0, 1.814539, 0.000119, 15.0
1492196708.356432, 254.137, 132.11, 400.0, 1.8146248, 0.0001034, 6.0
1492196715.304679, 253.338, 131.299, 12000.0, 1.814162, 0.0001364, 15.0
1492196726.503675, 252.066, 130.022, 1400.0, 1.81442, 0.000107, 15.0
1492196744.718022, 249.996, 128.015, 400.0, 1.8145094, 0.0001023, 6.0
1492196751.699368, 249.208, 127.261, 12000.0, 1.814081, 0.000134, 15.0
1492196762.89794, 247.932, 126.057, 1400.0, 1.8143057, 0.0001104, 15.0
1492196781.095745, 245.879, 124.168, 400.0, 1.8144012, 9.94e-05, 6.0
1492196787.966496, 245.106, 123.471, 12000.0, 1.813968, 0.000124, 15.0
1492196799.180343, 243.85, 122.353, 1400.0, 1.814212, 0.0001077, 15.0
1492196817.42774, 241.818, 120.592, 400.0, 1.8143007, 9.89e-05, 6.0
1492196824.378265, 241.048, 119.935, 12000.0, 1.813892, 0.000108, 15.0
1492196835.622928, 239.804, 118.903, 1400.0, 1.814111, 0.0001038, 15.0
1492196853.885109, 237.799, 117.255, 400.0, 1.8142099, 9.72e-05, 6.0
1492196860.849771, 237.036, 116.639, 12000.0, 1.813818, 0.000114, 15.0
1492196872.081036, 235.816, 115.655, 1400.0, 1.814026, 0.000105, 15.0
1492196890.324413, 233.827, 114.105, 400.0, 1.8141237, 9.597e-05, 6.0
1492196897.274383, 233.074, 113.53, 12000.0, 1.813753, 0.000113, 15.0
1492196908.52044, 231.863, 112.61, 1400.0, 1.813949, 9.2e-05, 15.0
1492196926.785213, 229.899, 111.16, 400.0, 1.8140509, 9.44e-05, 6.0
1492196933.750475, 229.153, 110.618, 12000.0, 1.813673, 0.000106, 15.0
1492196944.979974, 227.961, 109.763, 1400.0, 1.813903, 0.0001, 15.0
1492196963.208992, 226.034, 108.391, 400.0, 1.8139795, 9.3e-05, 6.0
1492196970.159051, 225.306, 107.876, 12000.0, 1.813629, 0.000106, 15.0
1492196981.389394, 224.135, 107.053, 1400.0, 1.813832, 9.11e-05, 15.0
