# This data file was created on Mon Apr 17 11:50:55 2017
# Chip ID: 2-17... Sample: GBA133... helium cool... Frequencies: 400Hz, 1400Hz, 12000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage [V], Frequency [Hz]
1492196562.9733829, 271.01499999999999, 151.94300000000001, 1.8152408, 0.00011069999999999999, 6.0, 400, 1492196544.790571, 273.12400000000002, 154.90100000000001, 1.8151729999999999, 0.000125, 15.0, 1400, 1492196533.5591121, 273.65300000000002, 156.80600000000001, 1.8148979999999999, 0.00015899999999999999, 15.0, 12000
1492196599.2880471, 266.77600000000001, 146.41300000000001, 1.8150320600000001, 0.00010851, 6.0, 400, 1492196581.0898659, 268.899, 149.13800000000001, 1.8149599999999999, 0.000134, 15.0, 1400, 1492196569.8904569, 270.209, 150.86099999999999, 1.8146850000000001, 0.000136, 15.0, 12000
1492196635.6159639, 262.53899999999999, 141.27099999999999, 1.8148842999999999, 0.00010679999999999999, 6.0, 400, 1492196617.435631, 264.66199999999998, 143.78999999999999, 1.814794, 0.0001198, 15.0, 1400, 1492196606.2215099, 265.96800000000002, 145.39699999999999, 1.8145089999999999, 0.00014100000000000001, 15.0, 12000
1492196671.9775269, 258.32299999999998, 136.53299999999999, 1.8147534000000001, 0.0001049, 6.0, 400, 1492196653.732017, 260.43599999999998, 138.87200000000001, 1.8146627, 0.00012329999999999999, 15.0, 1400, 1492196642.5493269, 261.73200000000003, 140.339, 1.8143879999999999, 0.000134, 15.0, 12000
1492196708.356432, 254.137, 132.11000000000001, 1.8146248, 0.00010340000000000001, 6.0, 400, 1492196690.109519, 256.22399999999999, 134.28, 1.8145389999999999, 0.00011900000000000001, 15.0, 1400, 1492196678.9271021, 257.51600000000002, 135.661, 1.814284, 0.00012899999999999999, 15.0, 12000
1492196744.7180221, 249.99600000000001, 128.01499999999999, 1.8145093999999999, 0.00010230000000000001, 6.0, 400, 1492196726.503675, 252.066, 130.02199999999999, 1.8144199999999999, 0.000107, 15.0, 1400, 1492196715.3046789, 253.33799999999999, 131.29900000000001, 1.8141620000000001, 0.00013640000000000001, 15.0, 12000
1492196781.0957451, 245.87899999999999, 124.16800000000001, 1.8144012, 9.9400000000000004e-05, 6.0, 400, 1492196762.8979399, 247.93199999999999, 126.057, 1.8143057, 0.0001104, 15.0, 1400, 1492196751.699368, 249.208, 127.261, 1.8140810000000001, 0.000134, 15.0, 12000
1492196817.4277401, 241.81800000000001, 120.592, 1.8143007, 9.8900000000000005e-05, 6.0, 400, 1492196799.1803429, 243.84999999999999, 122.35299999999999, 1.8142119999999999, 0.0001077, 15.0, 1400, 1492196787.966496, 245.10599999999999, 123.471, 1.813968, 0.00012400000000000001, 15.0, 12000
1492196853.8851089, 237.79900000000001, 117.255, 1.8142099, 9.7200000000000004e-05, 6.0, 400, 1492196835.6229279, 239.804, 118.90300000000001, 1.814111, 0.0001038, 15.0, 1400, 1492196824.3782649, 241.048, 119.935, 1.8138920000000001, 0.000108, 15.0, 12000
1492196890.3244131, 233.827, 114.105, 1.8141236999999999, 9.5970000000000004e-05, 6.0, 400, 1492196872.0810361, 235.816, 115.655, 1.8140259999999999, 0.000105, 15.0, 1400, 1492196860.849771, 237.036, 116.639, 1.8138179999999999, 0.00011400000000000001, 15.0, 12000
1492196926.785213, 229.899, 111.16, 1.8140509, 9.4400000000000004e-05, 6.0, 400, 1492196908.5204401, 231.863, 112.61, 1.813949, 9.2e-05, 15.0, 1400, 1492196897.2743831, 233.07400000000001, 113.53, 1.8137529999999999, 0.000113, 15.0, 12000
1492196963.208992, 226.03399999999999, 108.39100000000001, 1.8139795000000001, 9.2999999999999997e-05, 6.0, 400, 1492196944.979974, 227.96100000000001, 109.76300000000001, 1.813903, 0.0001, 15.0, 1400, 1492196933.7504749, 229.15299999999999, 110.61799999999999, 1.8136730000000001, 0.000106, 15.0, 12000
1492196999.6195431, 222.24100000000001, 105.753, 1.8139160999999999, 9.0199999999999997e-05, 6.0, 400, 1492196981.389394, 224.13499999999999, 107.053, 1.8138320000000001, 9.1100000000000005e-05, 15.0, 1400, 1492196970.1590509, 225.30600000000001, 107.876, 1.8136289999999999, 0.000106, 15.0, 12000
1492197036.0612459, 218.49799999999999, 103.273, 1.8138624000000001, 8.7299999999999994e-05, 6.0, 400, 1492197017.8158231, 220.37, 104.495, 1.8137669999999999, 8.8999999999999995e-05, 15.0, 1400, 1492197006.5679719, 221.52099999999999, 105.268, 1.813585, 0.000118, 15.0, 12000
1492197072.4542749, 214.80199999999999, 100.955, 1.8138133999999999, 8.5110000000000003e-05, 6.0, 400, 1492197054.2082679, 216.64400000000001, 102.09999999999999, 1.813723, 9.0000000000000006e-05, 15.0, 1400, 1492197042.9941499, 217.78899999999999, 102.81999999999999, 1.813515, 0.00010399999999999999, 15.0, 12000
1492197108.881377, 211.179, 98.757999999999996, 1.8137675, 8.318e-05, 6.0, 400, 1492197090.6331799, 212.982, 99.825999999999993, 1.813687, 9.1000000000000003e-05, 15.0, 1400, 1492197079.419863, 214.10599999999999, 100.523, 1.8134859999999999, 0.000112, 15.0, 12000
1492197145.2751839, 207.52500000000001, 81.046999999999997, 1.8137768000000001, 7.9099999999999998e-05, 6.0, 400, 1492197127.092433, 209.38200000000001, 91.503, 1.81368, 8.2000000000000001e-05, 15.0, 1400, 1492197115.8467841, 210.49100000000001, 97.465000000000003, 1.8134669999999999, 0.000108, 15.0, 12000
1492197181.557579, 203.441, 62.997, 1.8137481, 7.5459999999999999e-05, 6.0, 400, 1492197163.3569651, 205.565, 71.552000000000007, 1.8136909999999999, 8.8999999999999995e-05, 15.0, 1400, 1492197152.15994, 206.798, 77.310000000000002, 1.8134699999999999, 0.00012, 15.0, 12000
