# This data file was created on Thu Aug 18 11:42:16 2016
# GBA 139 bake
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1471542164.629611, 330.0, 313.746, 100.0, 1.276865, 0.0016719999999999999
1471542169.7235, 330.0, 313.746, 1000.0, 1.274514, 0.00136
1471542172.837629, 330.0, 313.746, 10000.0, 1.272442, 0.001083
1471542199.492824, 330.0, 313.746, 100.0, 1.276826, 0.001677
1471542204.621654, 330.0, 313.746, 1000.0, 1.274512, 0.001369
1471542207.73696, 330.0, 313.746, 10000.0, 1.272431, 0.001069
1471542234.41988, 330.0, 313.746, 100.0, 1.276902, 0.001682
1471542239.546942, 330.0, 313.747, 1000.0, 1.274519, 0.001361
1471542242.662341, 330.0, 313.747, 10000.0, 1.272439, 0.0010829
1471542269.360588, 329.783, 313.747, 100.0, 1.2768, 0.00177
1471542274.473362, 329.688, 313.747, 1000.0, 1.274517, 0.0013573
1471542277.588735, 329.63, 313.747, 10000.0, 1.272447, 0.0010760000000000001
1471542304.270436, 329.137, 313.745, 100.0, 1.276873, 0.001677
1471542309.399147, 329.043, 313.745, 1000.0, 1.274484, 0.001353
1471542312.530537, 328.987, 313.744, 10000.0, 1.272411, 0.001064
1471542339.198638, 328.511, 313.736, 100.0, 1.276735, 0.001683
1471542344.310424, 328.422, 313.735, 1000.0, 1.2744516, 0.0013560000000000002
1471542347.424894, 328.367, 313.733, 10000.0, 1.272406, 0.001066
1471542374.066505, 327.911, 313.72, 100.0, 1.27679, 0.00172
1471542379.162835, 327.825, 313.717, 1000.0, 1.274436, 0.001339
1471542382.262005, 327.773, 313.715, 10000.0, 1.272389, 0.001053
1471542408.898069, 327.333, 313.696, 100.0, 1.276779, 0.0017
1471542414.010656, 327.25, 313.692, 1000.0, 1.27441, 0.0013340000000000001
1471542417.126264, 327.2, 313.689, 10000.0, 1.272377, 0.001064
1471542443.810138, 326.777, 313.665, 100.0, 1.27667, 0.001635
1471542448.922081, 326.697, 313.66, 1000.0, 1.27442, 0.0013180000000000002
1471542452.037549, 326.649, 313.657, 10000.0, 1.272354, 0.001059
1471542478.737981, 326.241, 313.627, 100.0, 1.276648, 0.001609
1471542483.86477, 326.163, 313.621, 1000.0, 1.274381, 0.0013009999999999999
1471542486.980026, 326.116, 313.617, 10000.0, 1.27259, 0.0010600000000000002
1471542513.664326, 325.724, 313.584, 100.0, 1.276648, 0.001629
1471542518.792317, 325.649, 313.577, 1000.0, 1.27436, 0.001327
1471542521.907686, 325.604, 313.573, 10000.0, 1.2723, 0.00109
1471542548.589418, 325.225, 313.536, 100.0, 1.276601, 0.001621
1471542553.701248, 325.153, 313.528, 1000.0, 1.274335, 0.0012900000000000001
1471542556.816878, 325.11, 313.524, 10000.0, 1.272327, 0.001044
1471542583.501131, 324.743, 313.483, 100.0, 1.276496, 0.001571
1471542588.629213, 324.674, 313.475, 1000.0, 1.274323, 0.001287
1471542591.744857, 324.631, 313.469, 10000.0, 1.272321, 0.001046
1471542618.427278, 324.278, 313.425, 100.0, 1.2765, 0.0016
1471542623.539255, 324.211, 313.416, 1000.0, 1.274312, 0.0013180000000000002
1471542626.622753, 324.17, 313.411, 10000.0, 1.272293, 0.001039
1471542653.307351, 323.829, 313.363, 100.0, 1.276471, 0.001577
