# This data file was created on Tue Jul 12 16:10:39 2016
# bare cap with tpp 140 longest
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1468361467.202629, 299.229, 284.111, 100.0, 1.238284, 0.00035
1468361472.29878, 299.219, 283.968, 1000.0, 1.237715, 0.000357
1468361475.413991, 299.215, 283.883, 10000.0, 1.237132, 0.000365
1468361502.046778, 299.246, 283.332, 100.0, 1.2382815, 0.00035639999999999994
1468361507.140379, 299.23, 283.273, 1000.0, 1.237686, 0.000343
1468361510.271961, 299.207, 283.244, 10000.0, 1.23712, 0.00037799999999999997
1468361536.922134, 298.872, 283.119, 100.0, 1.238264, 0.00035299999999999996
1468361542.050034, 298.803, 283.105, 1000.0, 1.237736, 0.000334
1468361545.164319, 298.76, 283.097, 10000.0, 1.237145, 0.000358
1468361571.793865, 298.404, 283.055, 100.0, 1.238291, 0.000357
1468361576.922051, 298.337, 283.054, 1000.0, 1.237734, 0.000358
1468361580.036274, 298.296, 283.055, 10000.0, 1.237139, 0.000368
1468361606.670854, 297.951, 283.103, 100.0, 1.2382808, 0.00034989999999999994
1468361611.798574, 297.886, 283.115, 1000.0, 1.2377144, 0.0003353
1468361614.914026, 297.846, 283.122, 10000.0, 1.237122, 0.00035999999999999997
1468361641.592763, 297.513, 283.168, 100.0, 1.238257, 0.000348
1468361646.722048, 297.451, 283.173, 1000.0, 1.237707, 0.000348
1468361649.836986, 297.413, 283.174, 10000.0, 1.237102, 0.000356
1468361676.516761, 297.093, 283.218, 100.0, 1.238251, 0.00035099999999999997
1468361681.643886, 297.032, 283.233, 1000.0, 1.237702, 0.000335
1468361684.758011, 296.996, 283.243, 10000.0, 1.237086, 0.000376
1468361711.422124, 296.69, 283.351, 100.0, 1.2382251, 0.0003511
1468361716.518683, 296.632, 283.374, 1000.0, 1.237652, 0.00034199999999999996
1468361719.633206, 296.597, 283.389, 10000.0, 1.2370846, 0.00036869999999999996
1468361746.267581, 296.305, 283.501, 100.0, 1.2382048, 0.0003526
1468361751.379556, 296.25, 283.516, 1000.0, 1.237627, 0.00033999999999999997
1468361754.50764, 296.217, 283.523, 10000.0, 1.237064, 0.000359
1468361781.14716, 295.939, 283.6, 100.0, 1.238194, 0.00034399999999999996
1468361786.258031, 295.886, 283.622, 1000.0, 1.237634, 0.000319
1468361789.372049, 295.854, 283.637, 10000.0, 1.237071, 0.000368
1468361816.02045, 295.589, 283.774, 100.0, 1.2381791, 0.000345
1468361821.147545, 295.539, 283.8, 1000.0, 1.237607, 0.000339
1468361824.278995, 295.509, 283.816, 10000.0, 1.2370548, 0.00037319999999999996
1468361850.942374, 295.257, 283.943, 100.0, 1.23816, 0.000346
1468361856.054288, 295.21, 283.962, 1000.0, 1.237605, 0.00034399999999999996
1468361859.168682, 295.181, 283.971, 10000.0, 1.237028, 0.000372
1468361885.837916, 294.941, 284.038, 100.0, 1.2382982, 0.0003382
1468361890.932701, 294.896, 284.05, 1000.0, 1.237728, 0.000336
1468361894.03117, 294.87, 284.058, 10000.0, 1.237174, 0.000363
1468361920.684623, 294.641, 284.143, 100.0, 1.238287, 0.0003384
1468361925.811839, 294.597, 284.157, 1000.0, 1.237715, 0.000336
1468361928.925149, 294.571, 284.166, 10000.0, 1.237159, 0.000343
1468361955.58517, 294.353, 284.28, 100.0, 1.2382736, 0.0003403
1468361960.679693, 294.312, 284.308, 1000.0, 1.237717, 0.000325
1468361963.778148, 294.288, 284.326, 10000.0, 1.237151, 0.000365
1468361990.421005, 294.081, 284.492, 100.0, 1.238245, 0.000345
1468361995.532382, 294.043, 284.525, 1000.0, 1.237694, 0.000347
1468361998.630708, 294.02, 284.546, 10000.0, 1.237133, 0.00034899999999999997
1468362025.305327, 293.825, 284.661, 100.0, 1.238242, 0.000336
1468362030.429365, 293.789, 284.668, 1000.0, 1.237679, 0.000338
1468362033.54349, 293.768, 284.672, 10000.0, 1.237123, 0.000365
1468362060.207235, 293.583, 284.728, 100.0, 1.2382388, 0.0003353
1468362065.335581, 293.548, 284.74, 1000.0, 1.23766, 0.000343
1468362068.450106, 293.527, 284.748, 10000.0, 1.237115, 0.00036199999999999996
1468362095.104838, 293.351, 284.852, 100.0, 1.238223, 0.00033919999999999995
1468362100.216708, 293.318, 284.871, 1000.0, 1.23765, 0.00033439999999999994
1468362103.331682, 293.299, 284.884, 10000.0, 1.237094, 0.000363
1468362129.972601, 293.133, 285.003, 100.0, 1.2382, 0.000332
1468362135.099408, 293.102, 285.025, 1000.0, 1.237649, 0.000352
1468362138.212041, 293.083, 285.035, 10000.0, 1.237113, 0.000348
1468362164.855772, 292.926, 285.1, 100.0, 1.238188, 0.000329
1468362169.968723, 292.897, 285.114, 1000.0, 1.237665, 0.000323
