# This data file was created on Wed Jul 13 12:35:24 2016
# bare cap with tpp 140 longest helium
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1468434951.968365, 300.001, 298.044, 100.0, 1.235614, 0.000335
1468434957.095824, 300.001, 298.044, 1000.0, 1.235064, 0.000309
1468434960.21005, 300.001, 298.043, 10000.0, 1.23458, 0.00035999999999999997
1468434986.890076, 300.001, 298.043, 100.0, 1.235618, 0.000328
1468434992.017457, 300.001, 298.042, 1000.0, 1.235071, 0.00033
1468434995.116367, 300.001, 298.042, 10000.0, 1.234556, 0.00034199999999999996
1468435021.793769, 300.0, 298.035, 100.0, 1.235652, 0.00033
1468435026.921338, 300.0, 298.01, 1000.0, 1.23507, 0.00032199999999999997
1468435030.036168, 300.0, 297.981, 10000.0, 1.234575, 0.000359
1468435056.700785, 299.992, 297.185, 100.0, 1.235611, 0.00033999999999999997
1468435061.812693, 299.989, 296.914, 1000.0, 1.23504, 0.000314
1468435064.927032, 299.987, 296.733, 10000.0, 1.234551, 0.00036199999999999996
1468435091.573978, 299.95, 294.914, 100.0, 1.235627, 0.000332
1468435096.685702, 299.939, 294.503, 1000.0, 1.235058, 0.00031299999999999996
1468435099.784405, 299.933, 294.247, 10000.0, 1.234569, 0.000358
1468435126.464851, 299.857, 291.978, 100.0, 1.235629, 0.00033810000000000003
1468435131.592751, 299.84, 291.532, 1000.0, 1.23506, 0.00031
1468435134.706666, 299.829, 291.262, 10000.0, 1.2345474, 0.00034339999999999994
1468435161.354313, 299.73, 289.043, 100.0, 1.235624, 0.000356
1468435166.465976, 299.712, 288.644, 1000.0, 1.235073, 0.0003
1468435169.58046, 299.701, 288.406, 10000.0, 1.2345452, 0.0003458
1468435196.228936, 299.617, 286.557, 100.0, 1.235614, 0.00033299999999999996
1468435201.340473, 299.605, 286.24, 1000.0, 1.23503, 0.00028
1468435204.453128, 299.598, 286.058, 10000.0, 1.234548, 0.000348
1468435231.102073, 299.564, 284.667, 100.0, 1.235615, 0.000336
1468435236.213762, 299.562, 284.436, 1000.0, 1.23508, 0.00033
1468435239.328278, 299.562, 284.297, 10000.0, 1.234548, 0.00034399999999999996
1468435265.989128, 299.588, 283.335, 100.0, 1.235606, 0.00029099999999999997
1468435271.10083, 299.598, 283.188, 1000.0, 1.23508, 0.00035999999999999997
1468435274.215288, 299.604, 283.104, 10000.0, 1.234547, 0.000355
1468435300.864343, 299.336, 282.567, 100.0, 1.235638, 0.000323
1468435305.975731, 299.26, 282.504, 1000.0, 1.23506, 0.00029
1468435309.090506, 299.213, 282.471, 10000.0, 1.234541, 0.000348
1468435335.736052, 298.811, 282.043, 100.0, 1.2355895, 0.00033239999999999995
1468435340.847587, 298.733, 281.916, 1000.0, 1.235022, 0.000326
1468435343.946983, 298.687, 281.833, 10000.0, 1.23454, 0.000325
1468435370.595876, 298.279, 281.166, 100.0, 1.235567, 0.0003252
1468435375.707132, 298.201, 281.076, 1000.0, 1.235048, 0.000319
1468435378.821456, 298.153, 281.029, 10000.0, 1.234528, 0.000339
1468435405.499847, 297.746, 280.875, 100.0, 1.235558, 0.000316
1468435410.611544, 297.668, 280.881, 1000.0, 1.235023, 0.000297
1468435413.725745, 297.622, 280.88, 10000.0, 1.234521, 0.00034899999999999997
1468435440.406047, 297.225, 280.856, 100.0, 1.2355584, 0.0003171
1468435445.517851, 297.15, 280.868, 1000.0, 1.23498, 0.000318
1468435448.632436, 297.104, 280.877, 10000.0, 1.234509, 0.000345
1468435475.27903, 296.721, 280.97, 100.0, 1.235539, 0.000319
1468435480.390902, 296.649, 280.971, 1000.0, 1.235009, 0.00029
1468435483.473874, 296.606, 280.972, 10000.0, 1.234512, 0.000334
1468435510.153573, 296.238, 281.025, 100.0, 1.235534, 0.000312
1468435515.265635, 296.169, 281.047, 1000.0, 1.23505, 0.000303
1468435518.379725, 296.127, 281.061, 10000.0, 1.234509, 0.00033299999999999996
1468435545.048583, 295.777, 281.19, 100.0, 1.23549, 0.000306
1468435550.14665, 295.711, 281.234, 1000.0, 1.235023, 0.00029499999999999996
1468435553.26266, 295.671, 281.266, 10000.0, 1.234492, 0.000341
1468435579.94835, 295.341, 281.57, 100.0, 1.235525, 0.000289
1468435585.061649, 295.279, 281.608, 1000.0, 1.235031, 0.000335
1468435588.177129, 295.242, 281.625, 10000.0, 1.234498, 0.0003429
1468435614.860777, 294.928, 281.639, 100.0, 1.23552, 0.000338
1468435619.973796, 294.87, 281.632, 1000.0, 1.235016, 0.00029299999999999997
1468435623.088835, 294.834, 281.627, 10000.0, 1.2345222, 0.00033769999999999997
1468435649.792826, 294.532, 281.609, 100.0, 1.23556, 0.00031
1468435654.921509, 294.475, 281.597, 1000.0, 1.234998, 0.0003
1468435658.036759, 294.44, 281.585, 10000.0, 1.234525, 0.000345
1468435684.688244, 294.148, 281.457, 100.0, 1.235524, 0.000307
1468435689.833212, 294.093, 281.44, 1000.0, 1.235023, 0.000298
1468435692.964143, 294.059, 281.432, 10000.0, 1.234538, 0.000338
1468435719.634949, 293.775, 281.404, 100.0, 1.235521, 0.000298
1468435724.747809, 293.722, 281.379, 1000.0, 1.235026, 0.00029499999999999996
1468435727.876458, 293.689, 281.326, 10000.0, 1.234482, 0.00033299999999999996
1468435754.563676, 293.41, 280.844, 100.0, 1.235521, 0.00030199999999999997
1468435759.692041, 293.356, 280.781, 1000.0, 1.235025, 0.000321
1468435762.807237, 293.324, 280.751, 10000.0, 1.23454, 0.00033999999999999997
1468435789.493427, 293.045, 280.431, 100.0, 1.235543, 0.0002985
1468435794.606601, 292.991, 280.345, 1000.0, 1.235054, 0.00031299999999999996
1468435797.735654, 292.959, 280.297, 10000.0, 1.234517, 0.000327
1468435824.41838, 292.68, 279.99, 100.0, 1.235558, 0.00030199999999999997
1468435829.563011, 292.626, 279.946, 1000.0, 1.235031, 0.000316
1468435832.661993, 292.594, 279.925, 10000.0, 1.234528, 0.000339
1468435859.413995, 292.318, 279.875, 100.0, 1.235602, 0.000285
1468435864.555403, 292.266, 279.88, 1000.0, 1.235042, 0.00031499999999999996
1468435867.670536, 292.234, 279.881, 10000.0, 1.23454, 0.000327
1468435894.406766, 291.964, 279.472, 100.0, 1.235555, 0.00031999999999999997
1468435899.53617, 291.912, 279.241, 1000.0, 1.235036, 0.000316
1468435902.650637, 291.879, 279.081, 10000.0, 1.234537, 0.000343
1468435929.383265, 291.591, 277.109, 100.0, 1.2355457, 0.00029889999999999995
1468435934.528677, 291.532, 276.742, 1000.0, 1.235041, 0.000319
1468435937.659815, 291.496, 276.494, 10000.0, 1.23453, 0.00032199999999999997
1468435964.379795, 291.162, 273.982, 100.0, 1.235542, 0.00030199999999999997
1468435969.492903, 291.092, 273.253, 1000.0, 1.235045, 0.000301
1468435972.591375, 291.05, 272.8, 10000.0, 1.234527, 0.00033099999999999997
1468435999.340364, 290.646, 269.365, 100.0, 1.2355294, 0.0003022
1468436004.484874, 290.561, 268.619, 1000.0, 1.235047, 0.00029299999999999997
1468436007.61635, 290.509, 268.167, 10000.0, 1.234502, 0.000343
1468436034.351469, 290.022, 264.338, 100.0, 1.2355211, 0.0002934
1468436039.480717, 289.921, 263.654, 1000.0, 1.235023, 0.0003
1468436042.596314, 289.858, 263.282, 10000.0, 1.234509, 0.000327
1468436069.33113, 289.287, 259.665, 100.0, 1.23551, 0.00029360000000000003
1468436074.473265, 289.17, 258.844, 1000.0, 1.235031, 0.000292
1468436077.604508, 289.097, 258.322, 10000.0, 1.234509, 0.00033
1468436104.340622, 288.44, 254.159, 100.0, 1.2354806, 0.0002878
1468436109.453586, 288.307, 253.405, 1000.0, 1.235, 0.00027299999999999997
1468436112.552591, 288.225, 252.952, 10000.0, 1.234496, 0.000328
1468436139.284771, 287.494, 249.522, 100.0, 1.235447, 0.000285
1468436144.414318, 287.349, 249.121, 1000.0, 1.234934, 0.00029499999999999996
1468436147.545428, 287.26, 248.872, 10000.0, 1.234473, 0.00033
1468436174.280444, 286.479, 246.302, 100.0, 1.235426, 0.00027299999999999997
1468436179.409234, 286.325, 245.75, 1000.0, 1.23498, 0.00033
1468436182.524643, 286.231, 245.409, 10000.0, 1.234405, 0.000332
1468436209.258774, 285.403, 242.265, 100.0, 1.2353806, 0.000276
1468436214.386505, 285.241, 241.64, 1000.0, 1.23493, 0.00031
1468436217.517646, 285.142, 241.26, 10000.0, 1.234399, 0.000321
1468436244.253496, 284.27, 238.038, 100.0, 1.235338, 0.000283
1468436249.382907, 284.1, 237.408, 1000.0, 1.23491, 0.00031
1468436252.513916, 283.996, 237.021, 10000.0, 1.234398, 0.00032399999999999996
1468436279.245741, 283.08, 233.691, 100.0, 1.2353032, 0.0002728
1468436284.359073, 282.899, 233.063, 1000.0, 1.23478, 0.00026
1468436287.474277, 282.789, 232.683, 10000.0, 1.234343, 0.00034899999999999997
1468436314.210455, 281.814, 229.539, 100.0, 1.2352695, 0.0002822
1468436319.3236, 281.621, 228.963, 1000.0, 1.23472, 0.00031999999999999997
1468436322.454553, 281.504, 228.619, 10000.0, 1.234299, 0.000332
1468436349.221868, 280.473, 225.717, 100.0, 1.235248, 0.000269
1468436354.379851, 280.269, 225.136, 1000.0, 1.234761, 0.000298
1468436357.495087, 280.146, 224.704, 10000.0, 1.234278, 0.000329
1468436384.246486, 279.069, 219.996, 100.0, 1.235202, 0.000278
1468436389.375798, 278.856, 219.16, 1000.0, 1.234712, 0.000294
1468436392.522682, 278.727, 218.661, 10000.0, 1.234247, 0.0003338
1468436419.27553, 277.582, 214.96, 100.0, 1.235161, 0.00029499999999999996
1468436424.404222, 277.36, 214.324, 1000.0, 1.23467, 0.00029499999999999996
1468436427.5327, 277.222, 213.95, 10000.0, 1.234208, 0.00031099999999999997
1468436454.26824, 276.034, 210.976, 100.0, 1.235123, 0.000274
1468436459.397649, 275.803, 210.456, 1000.0, 1.234689, 0.000279
1468436462.5127, 275.662, 210.15, 10000.0, 1.234204, 0.00033299999999999996
1468436489.276382, 274.441, 207.747, 100.0, 1.235116, 0.000269
1468436494.405788, 274.205, 207.355, 1000.0, 1.23464, 0.00025
1468436497.520938, 274.062, 207.124, 10000.0, 1.234178, 0.000332
1468436524.271905, 272.818, 205.209, 100.0, 1.235066, 0.000268
1468436529.398745, 272.575, 204.874, 1000.0, 1.234595, 0.000274
1468436532.496468, 272.429, 204.675, 10000.0, 1.234115, 0.000325
1468436559.202804, 271.189, 203.051, 100.0, 1.235023, 0.000263
1468436564.347712, 270.948, 202.732, 1000.0, 1.23462, 0.00028
1468436567.462707, 270.803, 202.538, 10000.0, 1.234101, 0.000316
1468436594.230482, 269.554, 199.935, 100.0, 1.2349661, 0.0002643
1468436599.343885, 269.312, 199.332, 1000.0, 1.23455, 0.00028
1468436602.458952, 269.163, 198.977, 10000.0, 1.234031, 0.000317
1468436629.206439, 267.88, 196.146, 100.0, 1.2349245, 0.0002605
1468436634.35175, 267.623, 195.663, 1000.0, 1.23451, 0.00026
1468436637.467029, 267.469, 195.381, 10000.0, 1.2339895, 0.00031739999999999996
1468436664.21837, 266.132, 193.136, 100.0, 1.2348691, 0.0002585
1468436669.364091, 265.875, 192.738, 1000.0, 1.23442, 0.00033999999999999997
1468436672.479097, 265.717, 192.503, 10000.0, 1.233968, 0.00031299999999999996
1468436699.162098, 264.377, 190.751, 100.0, 1.2348206, 0.0002579
1468436704.275625, 264.123, 190.433, 1000.0, 1.23439, 0.00025
1468436707.389975, 263.967, 190.244, 10000.0, 1.233901, 0.000321
1468436734.110398, 262.641, 188.763, 100.0, 1.234768, 0.000261
1468436739.239953, 262.388, 188.501, 1000.0, 1.2343, 0.00023999999999999998
1468436742.386896, 262.235, 188.344, 10000.0, 1.2338569, 0.0003207
1468436769.118958, 260.922, 187.099, 100.0, 1.234723, 0.0002493
1468436774.247863, 260.672, 186.853, 1000.0, 1.23427, 0.000276
1468436777.378965, 260.519, 186.703, 10000.0, 1.233827, 0.000306
1468436804.115229, 259.215, 185.512, 100.0, 1.234675, 0.000251
1468436809.244229, 258.967, 185.299, 1000.0, 1.23424, 0.00020999999999999998
1468436812.343046, 258.816, 185.168, 10000.0, 1.233777, 0.000314
1468436839.108462, 257.532, 184.148, 100.0, 1.234625, 0.0002477
1468436844.23701, 257.285, 183.92, 1000.0, 1.23423, 0.00031
1468436847.352285, 257.137, 183.793, 10000.0, 1.233742, 0.00031
1468436874.087572, 255.874, 182.786, 100.0, 1.234588, 0.000247
1468436879.217285, 255.631, 182.589, 1000.0, 1.23415, 0.000252
1468436882.361661, 255.485, 182.463, 10000.0, 1.233678, 0.000314
1468436909.113367, 254.237, 181.366, 100.0, 1.234543, 0.0002477
1468436914.242886, 253.999, 181.162, 1000.0, 1.23407, 0.00020999999999999998
1468436917.373442, 253.854, 181.036, 10000.0, 1.233658, 0.000328
1468436944.140742, 252.62, 179.931, 100.0, 1.2345031, 0.0002438
1468436949.269959, 252.381, 179.72, 1000.0, 1.23401, 0.00022999999999999998
1468436952.401426, 252.237, 179.593, 10000.0, 1.2335993, 0.00031039999999999996
1468436979.118938, 251.012, 178.594, 100.0, 1.234444, 0.0002439
1468436984.231812, 250.778, 178.415, 1000.0, 1.23402, 0.000271
1468436987.363067, 250.636, 178.306, 10000.0, 1.233564, 0.000306
1468437014.083956, 249.423, 177.362, 100.0, 1.2344025, 0.0002404
1468437019.213048, 249.19, 177.19, 1000.0, 1.23402, 0.00027
1468437022.328191, 249.049, 177.088, 10000.0, 1.233514, 0.00031099999999999997
1468437049.04492, 247.849, 176.244, 100.0, 1.234364, 0.0002393
1468437054.190674, 247.619, 176.085, 1000.0, 1.23395, 0.000252
1468437057.305489, 247.478, 175.99, 10000.0, 1.233496, 0.000312
1468437084.040057, 246.289, 175.191, 100.0, 1.2343311, 0.0002364
1468437089.167201, 246.065, 175.054, 1000.0, 1.23392, 0.00028399999999999996
1468437092.28248, 245.925, 174.973, 10000.0, 1.233457, 0.00029299999999999997
1468437119.03451, 244.752, 174.269, 100.0, 1.2342823, 0.0002428
1468437124.163561, 244.529, 174.146, 1000.0, 1.23383, 0.0003
1468437127.296287, 244.394, 174.07, 10000.0, 1.233404, 0.000319
1468437154.027034, 243.238, 173.436, 100.0, 1.23424, 0.0002382
1468437159.171858, 243.015, 173.333, 1000.0, 1.23388, 0.00028
1468437162.303032, 242.881, 173.273, 10000.0, 1.23337, 0.000307
1468437189.038973, 241.74, 172.756, 100.0, 1.234196, 0.0002413
1468437194.152313, 241.523, 172.67, 1000.0, 1.23377, 0.00031999999999999997
1468437197.267659, 241.391, 172.616, 10000.0, 1.233332, 0.000298
1468437223.999922, 240.262, 169.852, 100.0, 1.23291, -0.00043999999999999996
1468437229.16108, 240.044, 169.201, 1000.0, 1.233726, 0.00028
1468437232.308091, 239.908, 168.821, 10000.0, 1.233294, 0.00030199999999999997
1468437259.045062, 238.744, 166.029, 100.0, 1.2341103, 0.00024249999999999999
1468437264.174482, 238.517, 165.555, 1000.0, 1.233701, 0.00026399999999999997
1468437267.305464, 238.38, 165.272, 10000.0, 1.233249, 0.00031099999999999997
1468437294.005611, 237.192, 163.075, 100.0, 1.234062, 0.00022899999999999998
1468437299.118095, 236.962, 162.699, 1000.0, 1.233658, 0.000277
1468437302.249459, 236.823, 162.464, 10000.0, 1.233218, 0.000306
1468437328.969844, 235.617, 160.618, 100.0, 1.234023, 0.000236
1468437334.115321, 235.385, 160.293, 1000.0, 1.23359, 8.999999999999999e-05
1468437337.246348, 235.243, 160.103, 10000.0, 1.233176, 0.000303
1468437364.010384, 234.018, 158.572, 100.0, 1.2339934, 0.0002264
1468437369.139555, 233.783, 158.297, 1000.0, 1.233575, 0.00019099999999999998
1468437372.254878, 233.64, 158.132, 10000.0, 1.233128, 0.00030199999999999997
1468437399.007156, 232.409, 156.879, 100.0, 1.2339467, 0.00023549999999999998
1468437404.1367, 232.174, 156.681, 1000.0, 1.233565, 0.000261
1468437407.251821, 232.031, 156.553, 10000.0, 1.233093, 0.000296
1468437434.00082, 230.806, 155.513, 100.0, 1.23392, -0.0003
1468437439.130106, 230.571, 155.33, 1000.0, 1.233486, 0.000266
1468437442.245345, 230.429, 155.21, 10000.0, 1.233064, 0.00030399999999999996
1468437468.981462, 229.21, 154.297, 100.0, 1.23339, -0.00021999999999999998
1468437474.109827, 228.977, 154.141, 1000.0, 1.233459, 0.000265
1468437477.223329, 228.836, 154.039, 10000.0, 1.233, 0.000298
1468437503.928265, 227.627, 153.272, 100.0, 1.23232, -0.00061
1468437509.073441, 227.396, 153.153, 1000.0, 1.230526, 0.000272
1468437512.172758, 227.256, 153.097, 10000.0, 1.230092, 0.000307
1468437538.90797, 226.06, 152.46, 100.0, 1.230887, 0.000227
1468437544.053445, 225.832, 152.365, 1000.0, 1.230492, 0.000259
1468437547.152095, 225.694, 152.298, 10000.0, 1.232953, 0.000298
1468437573.901022, 224.512, 151.801, 100.0, 1.230876, 0.00015
1468437579.045844, 224.287, 151.725, 1000.0, 1.2304641, 0.00025919999999999996
1468437582.177341, 224.148, 151.66, 10000.0, 1.230029, 0.000307
1468437608.945418, 222.984, 151.135, 100.0, 1.2308253, 0.00022719999999999997
1468437614.07424, 222.76, 150.991, 1000.0, 1.230437, 0.000267
1468437617.189708, 222.625, 150.892, 10000.0, 1.229988, 0.000296
1468437643.921057, 221.475, 150.349, 100.0, 1.230776, 0.000222
1468437649.065883, 221.256, 150.214, 1000.0, 1.230371, 0.00023999999999999998
1468437652.197066, 221.122, 150.144, 10000.0, 1.229974, 0.00029299999999999997
1468437678.949362, 219.984, 149.596, 100.0, 1.230744, 0.000227
1468437684.077944, 219.765, 149.453, 1000.0, 1.230345, 0.000251
1468437687.190891, 219.632, 149.368, 10000.0, 1.229942, 0.000308
1468437713.926773, 218.501, 148.811, 100.0, 1.2307044, 0.00022339999999999998
1468437719.072081, 218.285, 148.733, 1000.0, 1.230333, 0.00024599999999999996
1468437722.186921, 218.153, 148.673, 10000.0, 1.229922, 0.000287
1468437748.919001, 217.035, 148.086, 100.0, 1.230664, 0.00022169999999999997
1468437754.03254, 216.822, 148.029, 1000.0, 1.230278, 0.00026
1468437757.163527, 216.693, 147.979, 10000.0, 1.229874, 0.000298
1468437783.914891, 215.586, 147.397, 100.0, 1.230649, 0.000223
1468437789.04425, 215.376, 147.324, 1000.0, 1.230253, 0.00023799999999999998
1468437792.159415, 215.248, 147.277, 10000.0, 1.229843, 0.00028199999999999997
1468437818.894614, 214.158, 146.74, 100.0, 1.2306164, 0.00022309999999999997
1468437824.005219, 213.952, 146.652, 1000.0, 1.230264, 0.000272
1468437827.120226, 213.826, 146.616, 10000.0, 1.229819, 0.000287
1468437853.840369, 212.751, 146.126, 100.0, 1.230564, 0.00023099999999999998
1468437858.969245, 212.545, 146.071, 1000.0, 1.230195, 0.000268
1468437862.116849, 212.421, 146.033, 10000.0, 1.22979, 0.000276
1468437888.851081, 211.36, 145.432, 100.0, 1.23053, 0.000222
1468437893.994765, 211.158, 145.304, 1000.0, 1.2301737, 0.00024009999999999998
1468437897.093482, 211.035, 145.225, 10000.0, 1.229735, 0.00029299999999999997
1468437923.83023, 209.986, 144.436, 100.0, 1.230504, 0.000227
1468437928.975623, 209.786, 143.92, 1000.0, 1.230154, 0.00026119999999999995
1468437932.090689, 209.664, 143.557, 10000.0, 1.229736, 0.000298
1468437958.823116, 208.601, 140.448, 100.0, 1.2304676, 0.0002136
1468437963.968179, 208.393, 139.584, 1000.0, 1.23014, 0.000258
1468437967.083534, 208.265, 138.992, 10000.0, 1.229686, 0.000306
1468437993.771785, 207.143, 134.173, 100.0, 1.230443, 0.0002154
1468437998.900952, 206.92, 133.394, 1000.0, 1.230096, 0.000256
1468438002.032478, 206.784, 132.937, 10000.0, 1.229661, 0.00028
1468438028.749412, 205.59, 129.323, 100.0, 1.230409, 0.00022099999999999998
1468438033.878019, 205.356, 128.683, 1000.0, 1.230065, 0.000232
1468438037.008651, 205.213, 128.294, 10000.0, 1.229654, 0.00029299999999999997
1468438063.696726, 203.958, 125.162, 100.0, 1.230305, 0.000225
1468438068.826131, 203.713, 124.583, 1000.0, 1.230021, 0.00023669999999999998
1468438071.941024, 203.563, 124.24, 10000.0, 1.229604, 0.000296
1468438098.708561, 202.265, 121.007, 100.0, 1.230312, 0.000213
1468438103.868283, 202.015, 120.251, 1000.0, 1.229983, 0.00022999999999999998
1468438106.982498, 201.861, 119.811, 10000.0, 1.229571, 0.000303
1468438133.702635, 200.545, 116.312, 100.0, 1.230279, 0.000205
1468438138.831586, 200.288, 115.688, 1000.0, 1.229946, 0.000227
1468438141.947023, 200.132, 115.315, 10000.0, 1.229526, 0.000288
1468438168.715569, 198.784, 112.19, 100.0, 1.23025, 0.00018209999999999998
1468438173.825175, 198.523, 111.617, 1000.0, 1.232783, 0.000224
1468438176.940328, 198.364, 111.269, 10000.0, 1.232391, 0.0003
1468438203.691572, 196.985, 108.292, 100.0, 1.23305, -0.00037
1468438208.820821, 196.718, 107.717, 1000.0, 1.232742, 0.00023030000000000001
1468438211.952068, 196.555, 107.366, 10000.0, 1.232353, 0.00029099999999999997
1468438238.67247, 195.142, 104.242, 100.0, 1.23057, -0.00033299999999999996
1468438243.784838, 194.868, 103.612, 1000.0, 1.232727, 0.000247
1468438246.884306, 194.701, 103.224, 10000.0, 1.2295, 0.0003
1468438273.633026, 193.25, 99.585, 100.0, 1.230551, -0.0005859999999999999
1468438278.762586, 192.968, 98.802, 1000.0, 1.23271, 0.00014
1468438281.8613, 192.796, 98.331, 10000.0, 1.23199, 0.00022999999999999998
1468438308.612958, 191.297, 94.093, 100.0, 1.23037, -0.00039799999999999997
1468438313.757027, 191.005, 93.278, 1000.0, 1.232543, 0.00019999999999999998
1468438316.888003, 190.823, 92.78, 10000.0, 1.22936, 0.00028
1468438343.65139, 189.254, 88.687, 100.0, 1.230058, 7.3e-05
1468438348.78081, 188.946, 87.914, 1000.0, 1.2298, 0.00019999999999999998
