# This data file was created on Mon Aug 22 10:50:42 2016
# GBA 139 bake
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1471884670.613905, 313.132, 307.607, 100.0, 1.272665, 0.002634
1471884675.726263, 313.1, 307.598, 1000.0, 1.26987, 0.001271
1471884678.809459, 313.08, 307.593, 10000.0, 1.268116, 0.0008839999999999999
1471884705.440489, 312.914, 307.546, 100.0, 1.272554, 0.002589
1471884710.536736, 312.883, 307.537, 1000.0, 1.269849, 0.001271
1471884713.635863, 312.865, 307.531, 10000.0, 1.268105, 0.0008746
1471884740.315833, 312.703, 307.478, 100.0, 1.272514, 0.002496
1471884745.443402, 312.672, 307.467, 1000.0, 1.269801, 0.001244
1471884748.557977, 312.653, 307.46, 10000.0, 1.268081, 0.000879
1471884775.236823, 312.497, 307.395, 100.0, 1.2724017, 0.002455
1471884780.36542, 312.467, 307.38, 1000.0, 1.269768, 0.001226
1471884783.496408, 312.449, 307.371, 10000.0, 1.268057, 0.0008669999999999999
1471884810.157622, 312.296, 307.28, 100.0, 1.2723427, 0.0024100000000000002
1471884815.267389, 312.266, 307.259, 1000.0, 1.269717, 0.001206
1471884818.381279, 312.249, 307.245, 10000.0, 1.268042, 0.0008449999999999999
1471884845.040534, 312.098, 307.122, 100.0, 1.2722609, 0.0023605
1471884850.152146, 312.069, 307.097, 1000.0, 1.269698, 0.001181
1471884853.267375, 312.052, 307.082, 10000.0, 1.268021, 0.000846
1471884879.950384, 311.903, 306.955, 100.0, 1.2722001, 0.0023039000000000002
1471884885.04588, 311.875, 306.931, 1000.0, 1.269676, 0.001168
1471884888.161418, 311.857, 306.916, 10000.0, 1.268011, 0.000834
1471884914.827312, 311.709, 306.79, 100.0, 1.2721432, 0.0022693
1471884919.955062, 311.682, 306.766, 1000.0, 1.26963, 0.00118
1471884923.070727, 311.664, 306.752, 10000.0, 1.2679707, 0.0008322999999999999
1471884949.754909, 311.519, 306.628, 100.0, 1.2720846, 0.0022207
1471884954.867287, 311.491, 306.605, 1000.0, 1.269604, 0.0011539999999999999
1471884957.950939, 311.474, 306.591, 10000.0, 1.26795, 0.000841
1471884984.616288, 311.33, 306.47, 100.0, 1.272029, 0.0021878
1471884989.728269, 311.303, 306.448, 1000.0, 1.269565, 0.0011453
1471884992.843714, 311.286, 306.434, 10000.0, 1.267937, 0.0008349999999999999
1471885019.509865, 311.144, 306.318, 100.0, 1.271951, 0.0021594
1471885024.622119, 311.117, 306.296, 1000.0, 1.269529, 0.00113
1471885027.737584, 311.1, 306.283, 10000.0, 1.267933, 0.0008399999999999999
1471885054.400938, 310.96, 306.169, 100.0, 1.271896, 0.0021046999999999997
1471885059.513439, 310.933, 306.148, 1000.0, 1.269524, 0.001127
1471885062.612159, 310.917, 306.135, 10000.0, 1.267901, 0.00082
1471885089.295817, 310.778, 306.024, 100.0, 1.271864, 0.002073
1471885094.407809, 310.752, 306.003, 1000.0, 1.269497, 0.001118
1471885097.522016, 310.736, 305.991, 10000.0, 1.267891, 0.000815
1471885124.204861, 310.599, 305.884, 100.0, 1.2717921, 0.0020440999999999996
1471885129.332817, 310.573, 305.863, 1000.0, 1.269469, 0.00111
1471885132.448091, 310.557, 305.851, 10000.0, 1.267879, 0.000819
1471885159.127836, 310.422, 305.746, 100.0, 1.271744, 0.002016
1471885164.270725, 310.396, 305.726, 1000.0, 1.2694528, 0.0010915999999999999
1471885167.386151, 310.38, 305.714, 10000.0, 1.267852, 0.0007999999999999999
1471885194.053484, 310.247, 305.614, 100.0, 1.2717005, 0.0019808
1471885199.180906, 310.222, 305.594, 1000.0, 1.2694, 0.001075
1471885202.278046, 310.206, 305.583, 10000.0, 1.26783, 0.000812
1471885228.941675, 310.075, 305.485, 100.0, 1.2716498, 0.0019508000000000001
1471885234.052503, 310.05, 305.466, 1000.0, 1.269382, 0.0010840000000000001
1471885237.149524, 310.035, 305.455, 10000.0, 1.267826, 0.0007917
1471885263.816018, 309.905, 305.359, 100.0, 1.2715937, 0.001916
1471885268.909446, 309.881, 305.341, 1000.0, 1.269378, 0.001055
1471885272.007696, 309.866, 305.33, 10000.0, 1.267811, 0.000797
1471885298.69871, 309.738, 305.233, 100.0, 1.271573, 0.0018991000000000001
1471885303.825871, 309.714, 305.214, 1000.0, 1.269371, 0.001045
1471885306.941217, 309.699, 305.202, 10000.0, 1.2677988, 0.0007938999999999999
1471885333.609846, 309.573, 305.097, 100.0, 1.271516, 0.001869
1471885338.734918, 309.549, 305.075, 1000.0, 1.269319, 0.0010509999999999999
