# This data file was created on Wed Aug 24 12:17:39 2016
# GBA 139 bake
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1472062687.396354, 329.999, 311.112, 100.0, 1.3384566, 0.1869374
1472062692.523888, 329.999, 311.114, 1000.0, 1.292842, 0.032265999999999996
1472062695.638928, 329.999, 311.116, 10000.0, 1.274995, 0.007941
1472062722.298932, 329.998, 311.129, 100.0, 1.338522, 0.187202
1472062727.409397, 329.998, 311.131, 1000.0, 1.292854, 0.032293
1472062730.507571, 329.998, 311.132, 10000.0, 1.275002, 0.007936
1472062757.172974, 329.851, 311.145, 100.0, 1.33848, 0.1869
1472062762.285993, 329.743, 311.147, 1000.0, 1.292469, 0.031605
1472062765.400758, 329.676, 311.149, 10000.0, 1.274779, 0.0076945
1472062792.06735, 329.107, 311.16, 100.0, 1.33411, 0.1655
1472062797.163916, 329.001, 311.161, 1000.0, 1.290643, 0.0285362
1472062800.263496, 328.935, 311.162, 10000.0, 1.274167, 0.007084
1472062826.932151, 328.388, 311.167, 100.0, 1.3298, 0.14551
1472062832.028408, 328.285, 311.167, 1000.0, 1.288963, 0.025811
1472062835.144144, 328.222, 311.167, 10000.0, 1.273597, 0.0065190000000000005
1472062861.826177, 327.695, 311.164, 100.0, 1.32593, 0.12859
1472062866.93915, 327.596, 311.163, 1000.0, 1.287359, 0.023418
1472062870.054109, 327.535, 311.163, 10000.0, 1.273097, 0.006029
1472062896.706651, 327.029, 311.153, 100.0, 1.32235, 0.11403
1472062901.81926, 326.934, 311.151, 1000.0, 1.285918, 0.021328
1472062904.933008, 326.875, 311.15, 10000.0, 1.272622, 0.005575
1472062931.616981, 326.388, 311.135, 100.0, 1.31901, 0.10144
1472062936.745288, 326.297, 311.131, 1000.0, 1.2846188, 0.0195006
1472062939.8609, 326.241, 311.129, 10000.0, 1.272211, 0.005181
1472062966.513256, 325.772, 311.108, 100.0, 1.31599, 0.0907
1472062971.625623, 325.684, 311.104, 1000.0, 1.283416, 0.017878
1472062974.739789, 325.631, 311.101, 10000.0, 1.271815, 0.004842
1472063001.407301, 325.18, 311.076, 100.0, 1.3132, 0.08153
1472063006.520479, 325.095, 311.071, 1000.0, 1.282341, 0.016462
1472063009.619546, 325.043, 311.067, 10000.0, 1.271443, 0.0045382999999999995
1472063036.318624, 324.607, 311.037, 100.0, 1.3106, 0.07359
1472063041.429788, 324.524, 311.03, 1000.0, 1.281343, 0.015158
1472063044.561599, 324.474, 311.026, 10000.0, 1.271117, 0.004256
1472063071.214246, 324.054, 310.992, 100.0, 1.3082, 0.06666
1472063076.342455, 323.975, 310.985, 1000.0, 1.280441, 0.014021
1472063079.458153, 323.926, 310.981, 10000.0, 1.270825, 0.004006
1472063106.134487, 323.521, 310.943, 100.0, 1.30597, 0.0606
1472063111.244009, 323.445, 310.935, 1000.0, 1.279594, 0.013004
1472063114.34059, 323.398, 310.93, 10000.0, 1.270547, 0.003771
1472063141.031626, 323.007, 310.888, 100.0, 1.30389, 0.05534000000000001
1472063146.142062, 322.933, 310.88, 1000.0, 1.278828, 0.012074
1472063149.256312, 322.888, 310.875, 10000.0, 1.270279, 0.003578
1472063175.918616, 322.512, 310.83, 100.0, 1.30194, 0.0507
1472063181.013697, 322.44, 310.821, 1000.0, 1.278131, 0.011262000000000001
1472063184.127908, 322.397, 310.815, 10000.0, 1.27005, 0.003382
1472063210.804077, 322.033, 310.767, 100.0, 1.30016, 0.04665
1472063215.916202, 321.964, 310.757, 1000.0, 1.277487, 0.010521
1472063219.014906, 321.923, 310.752, 10000.0, 1.269831, 0.003206
1472063245.69715, 321.571, 310.701, 100.0, 1.29845, 0.043003
1472063250.810013, 321.504, 310.689, 1000.0, 1.276892, 0.009856
1472063253.924922, 321.464, 310.68, 10000.0, 1.2696033, 0.0030523
1472063280.606176, 321.124, 310.557, 100.0, 1.29689, 0.039779
1472063285.726646, 321.059, 310.526, 1000.0, 1.27637, 0.009256
1472063288.840228, 321.02, 310.506, 10000.0, 1.269437, 0.002911
1472063315.489346, 320.689, 310.325, 100.0, 1.295387, 0.036842
1472063320.599261, 320.626, 310.287, 1000.0, 1.275851, 0.00868
1472063323.712962, 320.587, 310.264, 10000.0, 1.269258, 0.002794
1472063350.408231, 320.263, 310.066, 100.0, 1.294004, 0.034247
1472063355.501581, 320.202, 310.027, 1000.0, 1.275379, 0.008183
1472063358.631233, 320.164, 310.004, 10000.0, 1.269078, 0.002673
1472063385.289071, 319.845, 309.802, 100.0, 1.29265, 0.031868
1472063390.400326, 319.785, 309.762, 1000.0, 1.27492, 0.007703000000000001
1472063393.51531, 319.748, 309.738, 10000.0, 1.26894, 0.002558
1472063420.209258, 319.436, 309.53, 100.0, 1.291401, 0.029666
1472063425.320772, 319.376, 309.49, 1000.0, 1.274497, 0.007240000000000001
1472063428.434815, 319.34, 309.465, 10000.0, 1.268772, 0.002457
1472063455.083393, 319.034, 309.252, 100.0, 1.290213, 0.027702
1472063460.193159, 318.976, 309.21, 1000.0, 1.274134, 0.006877
1472063463.323261, 318.941, 309.185, 10000.0, 1.26861, 0.002373
1472063490.005348, 318.639, 308.963, 100.0, 1.289105, 0.025904
1472063495.130564, 318.581, 308.92, 1000.0, 1.273769, 0.006509000000000001
1472063498.260435, 318.547, 308.893, 10000.0, 1.2684825, 0.0022754
1472063524.927169, 318.25, 308.659, 100.0, 1.288008, 0.024231000000000003
1472063530.021365, 318.194, 308.612, 1000.0, 1.273412, 0.006128000000000001
1472063533.118813, 318.16, 308.583, 10000.0, 1.268337, 0.002181
1472063559.791945, 317.867, 308.285, 100.0, 1.286995, 0.022706
1472063564.884074, 317.811, 308.206, 1000.0, 1.2731, 0.005809
1472063567.99734, 317.777, 308.152, 10000.0, 1.2682244, 0.0021190000000000002
1472063594.67948, 317.481, 307.235, 100.0, 1.286032, 0.021286000000000003
1472063599.805009, 317.422, 306.905, 1000.0, 1.272764, 0.0055138
1472063602.919016, 317.386, 306.67, 10000.0, 1.268096, 0.002043
1472063629.592168, 317.051, 303.4, 100.0, 1.285004, 0.019879
1472063634.703167, 316.979, 302.509, 1000.0, 1.272441, 0.005205
1472063637.816993, 316.934, 301.94, 10000.0, 1.267974, 0.0019490000000000002
1472063664.473741, 316.484, 296.077, 100.0, 1.283791, 0.018229
1472063669.601169, 316.384, 294.81, 1000.0, 1.272028, 0.004803
1472063672.715609, 316.322, 294.025, 10000.0, 1.267785, 0.001845
1472063699.384529, 315.705, 287.057, 100.0, 1.282241, 0.016175000000000002
1472063704.478281, 315.573, 285.708, 1000.0, 1.271498, 0.0043360000000000004
1472063707.60718, 315.49, 284.88, 10000.0, 1.267554, 0.001729
1472063734.269935, 314.701, 277.804, 100.0, 1.280402, 0.013839
1472063739.364501, 314.535, 276.448, 1000.0, 1.270903, 0.00378
1472063742.462464, 314.432, 275.639, 10000.0, 1.2672957, 0.0015819
1472063769.125619, 313.477, 268.713, 100.0, 1.278393, 0.011412
1472063774.237795, 313.278, 267.407, 1000.0, 1.270241, 0.003246
1472063777.352777, 313.156, 266.618, 10000.0, 1.266983, 0.0014399999999999999
1472063804.015933, 312.036, 260.02, 100.0, 1.276431, 0.009119
1472063809.144833, 311.808, 258.783, 1000.0, 1.269587, 0.0027069999999999998
1472063812.259799, 311.668, 258.036, 10000.0, 1.266703, 0.001281
1472063838.910956, 310.415, 252.266, 100.0, 1.274592, 0.007098
1472063844.021171, 310.164, 251.272, 1000.0, 1.26897, 0.00226
1472063847.138392, 310.01, 250.672, 10000.0, 1.266409, 0.001156
1472063873.811951, 308.654, 245.739, 100.0, 1.273075, 0.005472
1472063878.940195, 308.385, 244.826, 1000.0, 1.2684201, 0.0019184000000000002
1472063882.05585, 308.224, 244.276, 10000.0, 1.266129, 0.001048
1472063908.736207, 306.784, 239.653, 100.0, 1.271791, 0.004234
1472063913.832869, 306.504, 238.791, 1000.0, 1.2679, 0.0016
1472063916.948172, 306.331, 238.27, 10000.0, 1.265859, 0.000968
1472063943.615668, 304.823, 233.938, 100.0, 1.270762, 0.0033330000000000005
1472063948.726998, 304.526, 233.128, 1000.0, 1.267493, 0.0013939999999999998
1472063951.857183, 304.344, 232.638, 10000.0, 1.265633, 0.0009012
1472063978.51245, 302.771, 228.556, 100.0, 1.269936, 0.002666
1472063983.608313, 302.464, 227.788, 1000.0, 1.26714, 0.001231
1472063986.739309, 302.277, 227.321, 10000.0, 1.2653987, 0.0008422999999999999
1472064013.407865, 300.649, 223.413, 100.0, 1.269263, 0.002186
1472064018.503875, 300.336, 222.681, 1000.0, 1.266829, 0.001111
1472064021.60324, 300.143, 222.245, 10000.0, 1.265231, 0.0007959999999999999
1472064048.284912, 298.473, 218.546, 100.0, 1.268754, 0.001831
1472064053.412657, 298.149, 217.854, 1000.0, 1.266563, 0.001009
1472064056.527769, 297.953, 217.436, 10000.0, 1.265047, 0.000745
1472064083.211755, 296.246, 213.937, 100.0, 1.268278, 0.001591
1472064088.324666, 295.916, 213.281, 1000.0, 1.26632, 0.000927
1472064091.439638, 295.715, 212.883, 10000.0, 1.2648863, 0.0007227000000000001
1472064118.121207, 293.979, 209.521, 100.0, 1.267916, 0.001375
1472064123.217368, 293.648, 208.897, 1000.0, 1.2661, 0.000878
1472064126.348299, 293.443, 208.509, 10000.0, 1.264754, 0.000696
1472064153.031527, 291.687, 205.313, 100.0, 1.267641, 0.001227
1472064158.128477, 291.348, 204.718, 1000.0, 1.265907, 0.0008139999999999999
1472064161.259459, 291.142, 204.354, 10000.0, 1.264604, 0.000674
1472064187.940436, 289.369, 201.306, 100.0, 1.267362, 0.001129
1472064193.052457, 289.028, 200.734, 1000.0, 1.265743, 0.000794
1472064196.151466, 288.822, 200.387, 10000.0, 1.264494, 0.000674
1472064222.813324, 287.038, 197.471, 100.0, 1.267085, 0.001014
1472064227.925086, 286.694, 196.916, 1000.0, 1.2656, 0.000741
1472064231.039465, 286.485, 196.581, 10000.0, 1.264369, 0.000643
1472064257.675281, 284.694, 193.759, 100.0, 1.266895, 0.000939
1472064262.770599, 284.351, 193.225, 1000.0, 1.265448, 0.000725
1472064265.868536, 284.141, 192.907, 10000.0, 1.264272, 0.000636
1472064292.542498, 282.337, 190.171, 100.0, 1.266671, 0.0008849999999999999
1472064297.636071, 281.994, 189.657, 1000.0, 1.265318, 0.0007059999999999999
1472064300.750578, 281.784, 189.341, 10000.0, 1.264142, 0.000611
1472064327.419486, 279.979, 186.669, 100.0, 1.266537, 0.000868
1472064332.530197, 279.635, 186.161, 1000.0, 1.265171, 0.000685
1472064335.643232, 279.424, 185.852, 10000.0, 1.264049, 0.000614
1472064362.304891, 277.618, 183.205, 100.0, 1.26632, 0.0007999999999999999
1472064367.414148, 277.271, 182.693, 1000.0, 1.26506, 0.000647
1472064370.496096, 277.064, 182.387, 10000.0, 1.263942, 0.000581
1472064397.169913, 275.257, 179.745, 100.0, 1.2662, 0.00075
1472064402.264919, 274.913, 179.24, 1000.0, 1.264964, 0.000638
1472064405.363261, 274.703, 178.939, 10000.0, 1.263864, 0.000578
1472064432.015467, 272.904, 176.347, 100.0, 1.266077, 0.000712
1472064437.12566, 272.558, 175.86, 1000.0, 1.264854, 0.000623
1472064440.238948, 272.348, 175.562, 10000.0, 1.263769, 0.00057
1472064466.919503, 270.56, 172.971, 100.0, 1.266005, 0.000709
1472064472.04576, 270.222, 172.467, 1000.0, 1.264757, 0.000625
1472064475.159529, 270.012, 172.163, 10000.0, 1.263685, 0.000579
1472064501.799837, 268.251, 169.61, 100.0, 1.26568, 0.0007199999999999999
1472064506.911346, 267.913, 169.13, 1000.0, 1.2646629, 0.0006126
1472064510.026532, 267.709, 168.841, 10000.0, 1.263597, 0.0005679999999999999
1472064536.667365, 265.967, 166.422, 100.0, 1.26563, 0.0007199999999999999
1472064541.794959, 265.631, 165.951, 1000.0, 1.264599, 0.000592
1472064544.909551, 265.428, 165.659, 10000.0, 1.263538, 0.000547
1472064571.542791, 263.686, 161.093, 100.0, 1.265483, 0.000723
1472064576.654265, 263.351, 159.728, 1000.0, 1.264462, 0.0006
1472064579.784746, 263.146, 158.819, 10000.0, 1.263463, 0.000553
1472064606.445545, 261.37, 149.904, 100.0, 1.26548, 0.00062
1472064611.539567, 261.018, 148.18, 1000.0, 1.264388, 0.000585
1472064614.654944, 260.803, 147.12, 10000.0, 1.2633946, 0.0005484
1472064641.335963, 258.924, 138.499, 100.0, 1.26544, 0.000709
1472064646.432297, 258.552, 136.933, 1000.0, 1.26429, 0.00052
1472064649.530822, 258.325, 136.0, 10000.0, 1.263334, 0.000532
1472064676.212913, 256.336, 128.321, 100.0, 1.265248, 0.000583
1472064681.3392, 255.945, 126.919, 1000.0, 1.264245, 0.0005679999999999999
1472064684.454368, 255.711, 126.069, 10000.0, 1.263232, 0.000529
1472064711.116223, 253.633, 119.177, 100.0, 1.26517, 0.0005899999999999999
1472064716.243158, 253.228, 117.927, 1000.0, 1.264097, 0.0005679999999999999
1472064719.356674, 252.98, 117.166, 10000.0, 1.263163, 0.00053
1472064746.012315, 250.834, 111.005, 100.0, 1.264929, 0.000623
1472064751.137849, 250.416, 109.885, 1000.0, 1.264024, 0.000521
1472064754.251871, 250.161, 109.213, 10000.0, 1.2630813, 0.0005202000000000001
1472064780.926291, 247.949, 103.638, 100.0, 1.26494, 0.000603
1472064786.05139, 247.52, 102.627, 1000.0, 1.26393, 0.000547
1472064789.165249, 247.258, 102.021, 10000.0, 1.263002, 0.000514
1472064815.804518, 245.002, 97.025, 100.0, 1.2648, 0.000563
1472064820.913744, 244.568, 96.106, 1000.0, 1.263819, 0.000544
1472064823.996684, 244.302, 95.565, 10000.0, 1.262912, 0.000502
1472064850.676439, 242.003, 91.056, 100.0, 1.264759, 0.000505
1472064855.789143, 241.563, 90.228, 1000.0, 1.263767, 0.000522
1472064858.92006, 241.293, 89.733, 10000.0, 1.26285, 0.000509
1472064885.564194, 238.967, 85.68, 100.0, 1.264582, 0.000479
1472064890.706127, 238.519, 84.932, 1000.0, 1.263703, 0.000498
1472064893.80575, 238.246, 84.485, 10000.0, 1.262775, 0.000493
1472064920.467329, 235.902, 80.816, 100.0, 1.264549, 0.0005329999999999999
1472064925.561606, 235.455, 80.148, 1000.0, 1.263614, 0.000509
1472064928.676346, 235.18, 79.741, 10000.0, 1.262701, 0.000488
1472064955.33099, 232.811, 76.431, 100.0, 1.2643, 0.00045999999999999996
1472064960.425302, 232.355, 75.838, 1000.0, 1.263523, 0.0005059999999999999
1472064963.52334, 232.081, 75.478, 10000.0, 1.262627, 0.000489
1472064990.166465, 229.701, 72.497, 100.0, 1.264314, 0.000489
1472064995.262006, 229.248, 71.959, 1000.0, 1.263456, 0.000518
1472064998.377017, 228.97, 71.634, 10000.0, 1.262562, 0.0004919999999999999
1472065025.029189, 226.599, 68.974, 100.0, 1.264169, 0.000453
1472065030.126849, 226.142, 68.484, 1000.0, 1.263373, 0.000496
1472065033.243232, 225.863, 68.186, 10000.0, 1.2624892, 0.0004886
1472065059.913616, 223.477, 65.763, 100.0, 1.264071, 0.000484
