# This data file was created on Thu Jul 21 15:27:42 2016
# GBA 141
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1469136490.108187, 334.282, 325.591, 100.0, 1.260156, 0.0010903
1469136495.221532, 334.208, 325.541, 1000.0, 1.258846, 0.0006399999999999999
1469136498.337465, 334.162, 325.511, 10000.0, 1.258012, 0.000426
1469136525.007254, 333.782, 325.258, 100.0, 1.260114, 0.0010808
1469136530.102754, 333.71, 325.21, 1000.0, 1.258813, 0.00065
1469136533.217336, 333.667, 325.182, 10000.0, 1.25801, 0.000419
1469136559.88293, 333.3, 324.937, 100.0, 1.260082, 0.001054
1469136564.979976, 333.231, 324.892, 1000.0, 1.258806, 0.000641
1469136568.095661, 333.188, 324.864, 10000.0, 1.257996, 0.000434
1469136594.767346, 332.832, 324.627, 100.0, 1.260038, 0.0010325
1469136599.896461, 332.765, 324.583, 1000.0, 1.258772, 0.000619
1469136603.012689, 332.724, 324.556, 10000.0, 1.257992, 0.0004133
1469136629.68371, 332.38, 324.327, 100.0, 1.2600237, 0.0010214
1469136634.780877, 332.315, 324.284, 1000.0, 1.258742, 0.000628
1469136637.897058, 332.275, 324.258, 10000.0, 1.257999, 0.00041
1469136664.568217, 331.94, 324.036, 100.0, 1.2599948, 0.0010142
1469136669.681759, 331.876, 323.994, 1000.0, 1.258742, 0.000624
1469136672.79767, 331.838, 323.969, 10000.0, 1.257988, 0.000385
1469136699.467791, 331.513, 323.753, 100.0, 1.25996, 0.001
1469136704.581238, 331.451, 323.713, 1000.0, 1.258756, 0.000578
1469136707.697298, 331.414, 323.688, 10000.0, 1.257972, 0.00039299999999999996
1469136734.368407, 331.096, 323.479, 100.0, 1.25994, 0.000987
1469136739.466051, 331.037, 323.439, 1000.0, 1.258756, 0.000609
1469136742.566072, 331.0, 323.415, 10000.0, 1.258001, 0.000396
1469136769.205313, 330.692, 323.212, 100.0, 1.2599133, 0.0009737999999999999
1469136774.350405, 330.633, 323.173, 1000.0, 1.258724, 0.0005679999999999999
1469136777.482435, 330.598, 323.149, 10000.0, 1.257981, 0.000396
1469136804.152988, 330.297, 322.952, 100.0, 1.259895, 0.0009626
1469136809.250252, 330.24, 322.915, 1000.0, 1.25875, 0.0005549999999999999
1469136812.365859, 330.206, 322.892, 10000.0, 1.257975, 0.00039299999999999996
1469136839.005218, 329.915, 322.7, 100.0, 1.259872, 0.000953
1469136844.118394, 329.863, 322.663, 1000.0, 1.258733, 0.00056
1469136847.234535, 329.831, 322.641, 10000.0, 1.257991, 0.00037999999999999997
1469136873.921827, 329.583, 322.452, 100.0, 1.2598528, 0.0009333999999999999
1469136879.034913, 329.546, 322.417, 1000.0, 1.258701, 0.000562
1469136882.150619, 329.525, 322.395, 10000.0, 1.257971, 0.00036899999999999997
1469136908.838184, 329.436, 322.211, 100.0, 1.259836, 0.000936
1469136913.935504, 329.436, 322.177, 1000.0, 1.25875, 0.0005549999999999999
1469136917.035866, 329.44, 322.156, 10000.0, 1.257971, 0.00037999999999999997
1469136943.70649, 329.536, 321.979, 100.0, 1.259837, 0.0009391
1469136948.820004, 329.564, 321.945, 1000.0, 1.258722, 0.000562
1469136951.936014, 329.584, 321.925, 10000.0, 1.2579613, 0.00038669999999999997
1469136978.591293, 329.751, 321.756, 100.0, 1.2598391, 0.0009429999999999999
1469136983.70484, 329.781, 321.724, 1000.0, 1.2587028, 0.0005775
1469136986.820532, 329.799, 321.705, 10000.0, 1.257954, 0.00038199999999999996
1469137013.49177, 329.933, 321.545, 100.0, 1.2598358, 0.0009509
