# This data file was created on Fri Jul 22 10:51:36 2016
# GBA 141 cool
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent
1469206324.321749, 329.961, 313.478, 100.0, 1.25876, 0.00078
1469206329.451374, 329.897, 313.464, 1000.0, 1.25794, 0.00043
1469206332.567586, 329.846, 313.453, 10000.0, 1.25757, 0.00033
1469206359.238477, 329.369, 313.305, 100.0, 1.25873, 0.000722
1469206364.35204, 329.277, 313.269, 1000.0, 1.25802, 0.00041
1469206367.468015, 329.221, 313.247, 10000.0, 1.257454, 0.000285
1469206394.155897, 328.748, 313.023, 100.0, 1.25857, 0.00069
1469206399.25328, 328.657, 312.977, 1000.0, 1.25794, 0.00033
1469206402.353458, 328.603, 312.949, 10000.0, 1.257482, 0.000278
1469206429.024428, 328.142, 312.694, 100.0, 1.25881, 0.00062
1469206434.12197, 328.053, 312.645, 1000.0, 1.25797, 0.000357
1469206437.237587, 328.0, 312.614, 10000.0, 1.25744, 0.00023799999999999998
1469206463.893695, 327.549, 312.34, 100.0, 1.25883, 0.0007199999999999999
1469206469.021691, 327.463, 312.287, 1000.0, 1.25789, 0.00037
1469206472.137799, 327.41, 312.253, 10000.0, 1.257493, 0.00028399999999999996
1469206498.824521, 326.967, 311.959, 100.0, 1.25879, 0.00054
1469206503.937654, 326.883, 311.9, 1000.0, 1.258015, 0.000379
1469206507.037765, 326.832, 311.864, 10000.0, 1.257, 0.0
1469206533.709307, 326.397, 311.519, 100.0, 1.25885, 0.00053
1469206538.822679, 326.314, 311.435, 1000.0, 1.25805, 0.00037999999999999997
1469206541.938902, 326.264, 311.378, 10000.0, 1.25761, 0.00017999999999999998
1469206568.593974, 325.83, 310.391, 100.0, 1.25881, 0.00066
1469206573.723709, 325.745, 310.012, 1000.0, 1.258042, 0.000366
1469206576.839693, 325.693, 309.736, 10000.0, 1.2574966, 0.0002784
1469206603.495392, 325.217, 305.383, 100.0, 1.25876, 0.00067
